scan_id,flow_mm_s,lag_frames,pair_count,acf
flow03,3,111,339,-0.069458851156578114
flow03,3,112,338,-0.082816117229680963
flow03,3,113,337,-0.075158986003889122
flow03,3,114,336,-0.070973243448342466
flow03,3,115,335,-0.0603828501725302
flow03,3,116,334,-0.093793148993144962
flow03,3,117,333,-0.06195669493636978
flow03,3,118,332,-0.040907524467317075
flow03,3,119,331,-0.052520336073933381
flow03,3,120,330,-0.029054393702247844
flow03,3,121,329,-0.037386649251846919
flow03,3,122,328,-0.041745371873423656
flow03,3,123,327,-0.026943795265874364
flow03,3,124,326,-0.053913718888494569
flow03,3,125,325,-0.039475023947747143
flow03,3,126,324,-0.065660223969578074
flow03,3,127,323,-0.032978162856621904
flow03,3,128,322,-0.13077190829741378
flow03,3,129,321,-0.14316531999691109
flow03,3,130,320,-0.099097558395000368
flow03,3,131,319,-0.12873591203380813
flow03,3,132,318,-0.11951255020131799
flow03,3,133,317,-0.13989266340714546
flow03,3,134,316,-0.10049913485000117
flow03,3,135,315,0.0057978606697857236
flow03,3,136,314,0.026159667353223302
flow03,3,137,313,0.0045049801983451168
flow03,3,138,312,-0.0049138225973917827
flow03,3,139,311,-0.039180123226569635
flow03,3,140,310,-0.039296529532528393
flow03,3,141,309,0.065450731498367984
flow03,3,142,308,0.08955158972485143
flow03,3,143,307,0.05563061302051038
flow03,3,144,306,0.116385158755632
flow03,3,145,305,0.027111908540743253
flow03,3,146,304,0.011491143662013517
flow03,3,147,303,0.059796584151306509
flow03,3,148,302,0.061819458414513827
flow03,3,149,301,-0.026716989653883826
flow03,3,150,300,-0.070473753260430844
flow03,3,151,299,-0.043165681385537918
flow03,3,152,298,0.028208704288185137
flow03,3,153,297,0.041255425973143856
flow03,3,154,296,0.034279266683704131
flow03,3,155,295,0.040832514659588301
flow03,3,156,294,0.018472399812612554
flow03,3,157,293,-0.049448047703731124
flow03,3,158,292,-0.075603522836120679
flow03,3,159,291,-0.0061796347581767131
flow03,3,160,290,-0.0078910372416873473
flow03,3,161,289,0.10744241288885088
flow03,3,162,288,0.021589848021960355
flow03,3,163,287,0.0024851406978308602
flow03,3,164,286,0.039116024860828956
flow03,3,165,285,0.035466695548174117
flow03,3,166,284,0.012109496902455538
flow03,3,167,283,0.079071602001708374
flow03,3,168,282,0.11097267945125891
flow03,3,169,281,0.061757284042578534
flow03,3,170,280,-0.025653206852254508
flow03,3,171,279,0.021460047818980355
flow03,3,172,278,0.00073134270190688727
flow03,3,173,277,0.045763365688253746
flow03,3,174,276,0.042366364155292331
flow03,3,175,275,0.032603003345072115
flow03,3,176,275,-0.048170931917634226
flow03,3,177,275,-0.052348230982152653
flow03,3,178,275,-0.058219482814069495
flow03,3,179,275,-0.067444523698524245
flow03,3,180,275,-0.011251050459721008
flow03,3,181,275,0.035067273234622338
flow03,3,182,274,0.057814406687001121
flow03,3,183,273,0.034896011820742492
flow03,3,184,272,0.064296348615717452
flow03,3,185,271,0.12779852285940468
flow03,3,186,270,0.1404227880127577
flow03,3,187,269,0.13473192307156476
flow03,3,188,268,0.14528289006890069
flow03,3,189,267,0.1746797728273374
flow03,3,190,266,0.14150915524680627
flow03,3,191,265,0.097079672811535497
flow03,3,192,264,0.14951527575676038
flow03,3,193,263,0.12242614695831187
flow03,3,194,261,0.16770247629265944
flow03,3,195,259,0.15656533713167714
flow03,3,196,258,0.11885984120876285
flow03,3,197,257,0.14674727562005963
flow03,3,198,256,0.13247240551731673
flow03,3,199,255,0.10135908378103388
flow03,3,200,255,0.034673573622012607
flow05,5,0,491,1
flow05,5,1,486,0.46131478333363735
flow05,5,2,484,0.3771503466433429
flow05,5,3,482,0.29177184367252323
flow05,5,4,480,0.30465812450002933
flow05,5,5,478,0.24300878350594368
flow05,5,6,476,0.18516328693570339
flow05,5,7,476,0.17884255226950946
flow05,5,8,474,0.13116785349657747
flow05,5,9,473,0.18311295090994703
flow05,5,10,472,0.14535640808493347
flow05,5,11,471,0.13352520908230492
flow05,5,12,470,0.15365754294553366
flow05,5,13,469,0.18879866369006112
flow05,5,14,468,0.16517081069910158
flow05,5,15,467,0.19942605975652744
flow05,5,16,466,0.25598022880868121
flow05,5,17,465,0.21927295493793156
flow05,5,18,464,0.20413445607230221
flow05,5,19,463,0.1881848470813407
flow05,5,20,462,0.13575940742712198
flow05,5,21,461,0.16961618543631934
flow05,5,22,461,0.11806963749590398
flow05,5,23,459,0.17427753927656783
flow05,5,24,458,0.13272449892446334
