scan_id,diameter_um,flow_mm_s,side,mode,support,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,matched_specificity,matched_status,n_matched_far_defined
D235_F05_V01,235,5,right,detrended_51,real_L_R_common,424,W500,0.08986689065807596,424,ok,0.082375784097368898,ok,42,21,0.096720197174405761,4,ok,101,False,0.083318832475994642,ok,42
D235_F05_V01,235,5,right,detrended_51,real_L_R_common,424,C100,0.063110577108993052,424,ok,0.060635807072993569,ok,42,-26,0.10880380691969367,13,ok,101,False,0.050151527296569742,ok,42
D235_F07_V01,235,7,real_matched,detrended_51,real_L_R_common,444,W100,0.26885517043200452,444,ok,0.2492339919454539,ok,42,0,0.26885517043200452,1,ok,101,False,0.23415996507398296,ok,42
D235_F07_V01,235,7,real_matched,detrended_51,real_L_R_common,444,W500,0.32119183053452915,444,ok,0.29907305063197642,ok,42,-1,0.32503473564350205,2,ok,101,False,0.30408399619007509,ok,42
D235_F07_V01,235,7,real_matched,detrended_51,real_L_R_common,444,C100,0.32423145818034615,444,ok,0.3137402244691409,ok,42,0,0.32423145818034615,1,ok,101,False,0.30196922982756164,ok,42
D235_F07_V01,235,7,left,detrended_51,real_L_R_common,444,W100,0.02253577221630803,444,ok,0.033917448218592605,ok,42,-45,0.15724745302232379,35,ok,101,False,0.038921312900672078,ok,42
D235_F07_V01,235,7,left,detrended_51,real_L_R_common,444,W500,0.058090193495051061,444,ok,0.076802390541690829,ok,42,-48,0.12891177503218365,11,ok,101,False,0.10339819405853261,ok,42
D235_F07_V01,235,7,left,detrended_51,real_L_R_common,444,C100,0.011882673814113719,444,ok,0.022475959044627687,ok,42,-45,0.19099176119646574,43,ok,101,False,0.032561951306483296,ok,42
D235_F07_V01,235,7,right,detrended_51,real_L_R_common,444,W100,0.055889672125484652,444,ok,0.072664323665054084,ok,42,4,0.1393151999988449,20,ok,101,False,0.053323383321493063,ok,42
D235_F07_V01,235,7,right,detrended_51,real_L_R_common,444,W500,0.038455139623466361,444,ok,0.060674893359433282,ok,42,2,0.10993910277437392,24,ok,101,False,0.067286042811125407,ok,42
D235_F07_V01,235,7,right,detrended_51,real_L_R_common,444,C100,0.047961841440364368,444,ok,0.052611000889249138,ok,42,4,0.14703700415019372,25,ok,101,False,0.051725086666333978,ok,42
D235_F10_V01,235,10,real_matched,detrended_51,real_L_R_common,461,W100,0.37388206639269184,461,ok,0.2797797409825809,ok,42,0,0.37388206639269184,1,ok,101,False,0.28827030532347259,ok,42
D235_F10_V01,235,10,real_matched,detrended_51,real_L_R_common,461,W500,0.40743290116263842,461,ok,0.29395113932210964,ok,42,0,0.40743290116263842,1,ok,101,False,0.3039420149731169,ok,42
D235_F10_V01,235,10,real_matched,detrended_51,real_L_R_common,461,C100,0.48562640145051222,461,ok,0.37021180826864974,ok,42,0,0.48562640145051222,1,ok,101,False,0.3751116421648657,ok,42
D235_F10_V01,235,10,left,detrended_51,real_L_R_common,461,W100,0.23859180157919571,461,ok,0.22976770226840679,ok,42,0,0.23859180157919571,1,ok,101,False,0.20645999306733709,ok,42
D235_F10_V01,235,10,left,detrended_51,real_L_R_common,461,W500,0.26125831998100951,461,ok,0.25217406739800019,ok,42,0,0.26125831998100951,1,ok,101,False,0.23525525368799341,ok,42
D235_F10_V01,235,10,left,detrended_51,real_L_R_common,461,C100,0.18216197893207287,461,ok,0.17590536093307008,ok,42,1,0.18566305440598688,2,ok,101,False,0.16669638658329575,ok,42
D235_F10_V01,235,10,right,detrended_51,real_L_R_common,461,W100,0.24719731298721215,461,ok,0.20288982044133194,ok,42,0,0.24719731298721215,1,ok,101,False,0.1813567892987212,ok,42
D235_F10_V01,235,10,right,detrended_51,real_L_R_common,461,W500,0.26983708592921873,461,ok,0.24476490689946534,ok,42,0,0.26983708592921873,1,ok,101,False,0.22069506327032076,ok,42
D235_F10_V01,235,10,right,detrended_51,real_L_R_common,461,C100,0.18207811585769368,461,ok,0.138976888921544,ok,42,0,0.18207811585769368,1,ok,101,False,0.1241956395461932,ok,42
D285_F01_V01,285,1,real_matched,detrended_51,real_L_R_common,453,W100,0.31717149804628997,453,ok,0.2170531979718619,ok,42,1,0.32588867867345894,2,ok,101,False,0.24241006249640654,ok,42
D285_F01_V01,285,1,real_matched,detrended_51,real_L_R_common,453,W500,0.3585297848730235,453,ok,0.27847579184679661,ok,42,0,0.3585297848730235,1,ok,101,False,0.30324282886094456,ok,42
D285_F01_V01,285,1,real_matched,detrended_51,real_L_R_common,453,C100,0.42012934861809098,453,ok,0.29600837140663422,ok,42,0,0.42012934861809098,1,ok,101,False,0.28156746766196694,ok,42
D285_F01_V01,285,1,left,detrended_51,real_L_R_common,453,W100,0.18185932636301347,453,ok,0.18263405427942536,ok,42,0,0.18185932636301347,1,ok,101,False,0.19282822691954432,ok,42
D285_F01_V01,285,1,left,detrended_51,real_L_R_common,453,W500,0.14190787027117771,453,ok,0.16045800798590698,ok,42,0,0.14190787027117771,1,ok,101,False,0.16318965712507605,ok,42
D285_F01_V01,285,1,left,detrended_51,real_L_R_common,453,C100,0.14349463393460526,453,ok,0.15221261933581171,ok,42,0,0.14349463393460526,1,ok,101,False,0.14258845449651614,ok,42
D285_F01_V01,285,1,right,detrended_51,real_L_R_common,453,W100,0.22171151656675903,453,ok,0.20745975847796447,ok,42,0,0.22171151656675903,1,ok,101,False,0.21554892584189717,ok,42
D285_F01_V01,285,1,right,detrended_51,real_L_R_common,453,W500,0.19661397083315085,453,ok,0.17488135748000264,ok,42,0,0.19661397083315085,1,ok,101,False,0.19161252052280014,ok,42
D285_F01_V01,285,1,right,detrended_51,real_L_R_common,453,C100,0.20114185342454041,453,ok,0.18059428021837659,ok,42,0,0.20114185342454041,1,ok,101,False,0.17030425399888371,ok,42
D285_F03_V01,285,3,real_matched,detrended_51,real_L_R_common,474,W100,0.2003444456447302,474,ok,0.22802607818729764,ok,42,1,0.23378319020699836,4,ok,101,False,0.21712972790017798,ok,42
D285_F03_V01,285,3,real_matched,detrended_51,real_L_R_common,474,W500,0.27000212184519917,474,ok,0.29011293400246974,ok,42,0,0.27000212184519917,1,ok,101,False,0.27451013243469441,ok,42
D285_F03_V01,285,3,real_matched,detrended_51,real_L_R_common,474,C100,0.22183742335902024,474,ok,0.25680441108082241,ok,42,0,0.22183742335902024,1,ok,101,False,0.26501051108443074,ok,42
D285_F03_V01,285,3,left,detrended_51,real_L_R_common,474,W100,0.085726558274165407,474,ok,0.0837288675021398,ok,42,2,0.14202480530400996,7,ok,101,False,0.089901264185495877,ok,42
D285_F03_V01,285,3,left,detrended_51,real_L_R_common,474,W500,0.085908196106773527,474,ok,0.10282549993062717,ok,42,-24,0.094278946767183125,4,ok,101,False,0.10209205537920173,ok,42
D285_F03_V01,285,3,left,detrended_51,real_L_R_common,474,C100,0.08950375122878583,474,ok,0.096936983052850798,ok,42,2,0.11085276641885775,5,ok,101,False,0.10643238408656853,ok,42
