diameter_um,mode,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
235,detrended_51,19,450,475,462.5,background_real_tail_covariation.csv,rho,5,0,-0.019146253347501408,-0.099195747386297869,0.034193244249650943,1,4,0,-0.019146253347501408,0.034193244249650943,-0.099195747386297869,-0.02032234339730217,-0.012302418872718631
235,detrended_51,20,475,500,487.5,background_real_tail_covariation.csv,rho,5,0,0.039341499368294085,-0.053912632189335771,0.085645520568167363,4,1,0,0.059764662735668085,-0.053912632189335771,0.028094911241113091,0.085645520568167363,0.039341499368294085
235,raw,1,0,25,12.5,background_real_tail_covariation.csv,rho,5,0,0.026580987471893438,-0.035130464178846715,0.046476039536632534,3,2,0,0.027109220020200425,0.026580987471893438,-0.022148755126297808,0.046476039536632534,-0.035130464178846715
235,raw,2,25,50,37.5,background_real_tail_covariation.csv,rho,5,0,-0.027922751585865799,-0.044793885438559208,0.050934002694813442,1,4,0,0.050934002694813442,-0.00047151227720277511,-0.044793885438559208,-0.034084750537942514,-0.027922751585865799
235,raw,3,50,75,62.5,background_real_tail_covariation.csv,rho,5,0,0.013951086657063468,-0.035253928378515757,0.1148975287205434,3,2,0,0.11349953129037149,-0.028181967171107842,0.013951086657063468,0.1148975287205434,-0.035253928378515757
235,raw,4,75,100,87.5,background_real_tail_covariation.csv,rho,5,0,0.056231767697042689,0.031226177486136233,0.11065337481609286,5,0,0,0.11065337481609286,0.031226177486136233,0.056231767697042689,0.051547197386343148,0.058307683074258571
235,raw,5,100,125,112.5,background_real_tail_covariation.csv,rho,5,0,0.0513961728097167,-0.13396821041827173,0.055661540760584563,3,2,0,-0.00014493697510393824,0.0513961728097167,0.055472800119646413,0.055661540760584563,-0.13396821041827173
235,raw,6,125,150,137.5,background_real_tail_covariation.csv,rho,5,0,0.014315477976705931,0.0036788123519178846,0.06648937022081669,5,0,0,0.01200401125757249,0.06648937022081669,0.0036788123519178846,0.053299734918929885,0.014315477976705931
235,raw,7,150,175,162.5,background_real_tail_covariation.csv,rho,5,0,0.06638543075502519,-0.059942516340776457,0.092234475484292477,4,1,0,0.069942099947256822,-0.059942516340776457,0.092234475484292477,0.06638543075502519,0.058211042941779527
235,raw,8,175,200,187.5,background_real_tail_covariation.csv,rho,5,0,0.028987928858633331,-0.041930026670538773,0.11671764055994933,3,2,0,-0.041930026670538773,0.028987928858633331,-0.0081367432561141682,0.072203641488649231,0.11671764055994933
235,raw,9,200,225,212.5,background_real_tail_covariation.csv,rho,5,0,0.042550200329027635,0.0034038835635598016,0.10861921347629111,5,0,0,0.082568966511284259,0.0034038835635598016,0.042550200329027635,0.10861921347629111,0.024361397350174112
235,raw,10,225,250,237.5,background_real_tail_covariation.csv,rho,5,0,0.030360692878816674,-0.050304668429303832,0.11983474414861758,3,2,0,0.030360692878816674,-0.022950356283378211,0.048267252304374175,-0.050304668429303832,0.11983474414861758
235,raw,11,250,275,262.5,background_real_tail_covariation.csv,rho,5,0,0.003730325406197217,-0.022297108786063054,0.033509001573753971,3,2,0,0.033509001573753971,0.003730325406197217,0.030311474248470967,-0.022297108786063054,-0.01170937899222347
235,raw,12,275,300,287.5,background_real_tail_covariation.csv,rho,5,0,0.066934375469135915,-0.031270219850284553,0.10839310537745539,4,1,0,0.025282560371721968,0.10839310537745539,-0.031270219850284553,0.066934375469135915,0.096675652933315856
235,raw,13,300,325,312.5,background_real_tail_covariation.csv,rho,5,0,0.047403516035035419,-0.034263714828093539,0.11164742091135932,3,2,0,0.086993681495258449,-0.034263714828093539,0.11164742091135932,-0.016977938701630588,0.047403516035035419
