scan_id,diameter_um,flow_mm_s,region,side,n_defined,curve_median,curve_MAD,RCV,first_median,last_median,first_coverage,last_coverage,signed_difference,absolute_difference,relative_difference,status
D128_F10_V01,128,10,tail100,bg,484,16348793.747642133,1071394.055830935,0.097160001630336459,17525887.561694682,15841013.700883709,51,51,-1684873.8608109728,1684873.8608109728,-0.10305799233989173,ok
D128_F10_V01,128,10,tail500,left,484,15708269.32548783,767714.6340470463,0.072459523888561972,16982022.298649568,14938222.524663195,51,51,-2043799.7739863731,2043799.7739863731,-0.13010979959900207,ok
D128_F10_V01,128,10,tail500,right,484,15949874.832157847,689475.37267725263,0.064089292128507558,16868488.15047818,15776441.311778536,51,51,-1092046.8386996444,1092046.8386996444,-0.068467423737889124,ok
D128_F10_V01,128,10,tail500,bg,484,15783208.134685721,586684.87775965314,0.055110405460276325,17095138.393673446,15385204.933598936,51,51,-1709933.4600745104,1709933.4600745104,-0.10833877659616627,ok
D235_F01_V01,235,1,source,left,448,15128429.194407368,732822.18244965747,0.071817249083699283,15689275.187458491,14896268.779079663,39,35,-793006.40837882832,793006.40837882832,-0.052418291297022732,ok
D235_F01_V01,235,1,source,right,448,15280070.733352769,785974.6763520781,0.076261823357666,15850372.90966134,15283182.273450226,39,35,-567190.636211114,567190.636211114,-0.037119634202547991,ok
D235_F01_V01,235,1,source,bg,448,15180619.172646262,547258.67355191335,0.053447471422644922,15853677.967969621,14772149.371483089,39,35,-1081528.5964865312,1081528.5964865312,-0.071244037162550122,ok
D235_F01_V01,235,1,tail100,left,448,16203381.777135815,1020934.3075572345,0.093414894816600022,16505079.197726071,16162199.215384809,39,35,-342879.98234126158,342879.98234126158,-0.021161013611682648,ok
D235_F01_V01,235,1,tail100,right,448,16445290.29366209,1161255.8315963885,0.10469124382610194,17099211.150432769,16944252.418391615,39,35,-154958.73204115406,154958.73204115406,-0.0094226814652748434,ok
D235_F01_V01,235,1,tail100,bg,448,16404064.07730367,747430.71449637599,0.067552819355633217,16595277.538535809,16432567.486633813,39,35,-162710.05190199614,162710.05190199614,-0.0099188866329239997,ok
D235_F01_V01,235,1,tail500,left,448,16281328.062635325,505786.44077436253,0.046057605018904893,17017004.236133669,16108495.29650622,39,35,-908508.9396274481,908508.9396274481,-0.055800665408396372,ok
D235_F01_V01,235,1,tail500,right,448,16548576.143247887,524090.23717784137,0.046953658061808776,16790390.579106424,16791628.010985151,39,35,1237.4318787269294,1237.4318787269294,7.4775731036644117e-05,ok
D235_F01_V01,235,1,tail500,bg,448,16379021.716277767,389229.21713244915,0.035232338494738384,16907402.434714075,16449062.405475415,39,35,-458340.02923865989,458340.02923865989,-0.027983358052645679,ok
D235_F03_V01,235,3,source,left,448,15753141.74498032,869853.57353076339,0.081865886119360937,17729438.990799055,15288701.808172755,40,44,-2440737.1826262996,2440737.1826262996,-0.15493653406654778,ok
D235_F03_V01,235,3,source,right,448,16016072.417413596,811050.94277709909,0.075078589583170138,16871618.303817041,15518054.182019614,40,44,-1353564.1217974275,1353564.1217974275,-0.084512862237420619,ok
D235_F03_V01,235,3,source,bg,448,15885814.657573547,634122.342349438,0.059181716835595914,16929976.306258492,15541298.531958733,40,44,-1388677.7742997594,1388677.7742997594,-0.087416214039593404,ok
D235_F03_V01,235,3,tail100,left,448,17033630.893243331,1050223.5012330962,0.091411007593561411,18020073.840486579,16462846.821804501,40,44,-1557227.0186820775,1557227.0186820775,-0.091420732810394353,ok
D235_F03_V01,235,3,tail100,right,448,17482446.830759726,1037120.086841072,0.087953034013817891,18321933.439277783,17311893.083574727,40,44,-1010040.3557030559,1010040.3557030559,-0.057774541829346611,ok
D235_F03_V01,235,3,tail100,bg,448,17206867.462916352,799255.62193930335,0.068866479482162068,18371656.329427861,16801155.265879788,40,44,-1570501.0635480732,1570501.0635480732,-0.091271759193401303,ok
D235_F03_V01,235,3,tail500,left,448,16872583.005206749,577011.26020019501,0.050702189114068402,17673336.268609926,16615215.287667632,40,44,-1058120.980942294,1058120.980942294,-0.062712447798642684,ok
D235_F03_V01,235,3,tail500,right,448,17142104.731889982,466234.35838146508,0.040324048332899688,17805211.795056012,17412824.241767921,40,44,-392387.55328809097,392387.55328809097,-0.022890278610777613,ok
D235_F03_V01,235,3,tail500,bg,448,16990044.027338635,392746.88134483993,0.034272219974527666,17730284.223862663,16883978.95959926,40,44,-846305.26426340267,846305.26426340267,-0.04981183467809825,ok
D235_F05_V01,235,5,source,left,424,15312155.186749294,719544.02214944549,0.0696698769198697,16344311.32002895,15434409.903727788,46,44,-909901.41630116105,909901.41630116105,-0.05942347143193559,ok
D235_F05_V01,235,5,source,right,424,15696280.123073695,781970.18726021983,0.073861385662182893,16515280.066822072,16034273.765857685,46,44,-481006.30096438713,481006.30096438713,-0.030644604784881666,ok
D235_F05_V01,235,5,source,bg,424,15422234.347223485,526703.85250708275,0.050634111383969935,16621408.312956246,15574411.210849894,46,44,-1046997.1021063514,1046997.1021063514,-0.067888807713186242,ok
D235_F05_V01,235,5,tail100,left,424,16820172.327170253,1070101.2456390075,0.094323177903570449,17701628.528164566,16681682.489323512,46,44,-1019946.0388410538,1019946.0388410538,-0.060638263330601967,ok
D235_F05_V01,235,5,tail100,right,424,17089171.287662197,1121000.6325457105,0.097254308581491894,17995944.846377663,17156790.731926031,46,44,-839154.1144516319,839154.1144516319,-0.049104435804764431,ok
D235_F05_V01,235,5,tail100,bg,424,16987998.630147055,723846.57129193936,0.063172534326260382,17770313.050178565,17009382.905757327,46,44,-760930.14442123845,760930.14442123845,-0.044792218376500513,ok
D235_F05_V01,235,5,tail500,left,424,16647514.576849114,545589.95865348913,0.048589335601156289,17419642.459839586,16496141.929653287,46,44,-923500.53018629923,923500.53018629923,-0.055473778138063104,ok
D235_F05_V01,235,5,tail500,right,424,16889237.404803663,548983.28926119953,0.048191792509658084,17399236.377808236,17245995.194132917,46,44,-153241.18367531896,153241.18367531896,-0.0090733039036880285,ok
D235_F05_V01,235,5,tail500,bg,424,16775148.016648352,393089.24063065276,0.034741518082619403,17384505.788896691,16820659.823496073,46,44,-563845.96540061757,563845.96540061757,-0.033611981536081435,ok
D235_F07_V01,235,7,source,left,444,15083155.65782509,735938.92857763544,0.072339176248117656,15980008.602659591,15368360.633879717,31,42,-611647.9687798731,611647.9687798731,-0.040551724231696319,ok
D235_F07_V01,235,7,source,right,444,15250483.391606914,735986.41246079095,0.071550089731247116,15708244.850391837,15223929.864134151,31,42,-484314.98625768535,484314.98625768535,-0.031757353116047951,ok
D235_F07_V01,235,7,source,bg,444,15194029.741366796,560974.12591527868,0.054738621237368695,15685328.093032228,15250359.758046016,31,42,-434968.33498621173,434968.33498621173,-0.028627582174726194,ok
D235_F07_V01,235,7,tail100,left,444,16403460.927251257,958080.79439435713,0.086594566358204506,16553121.380472058,16203669.457210928,31,42,-349451.92326113023,349451.92326113023,-0.021303548367685124,ok
D235_F07_V01,235,7,tail100,right,444,16714823.741874352,1079089.393928417,0.095714915104385512,17982005.100992922,16853689.006991491,31,42,-1128316.094001431,1128316.094001431,-0.067503918164254897,ok
D235_F07_V01,235,7,tail100,bg,444,16548264.83466153,749886.50331301708,0.06718418764263262,17384994.077084988,16447137.281115899,31,42,-937856.79596908949,937856.79596908949,-0.0566740262703967,ok
D235_F07_V01,235,7,tail500,left,444,16440154.524589512,519818.56417442951,0.046878087556433842,17306368.913153749,16298364.69836127,31,42,-1008004.2147924788,1008004.2147924788,-0.061313548682575249,ok
D235_F07_V01,235,7,tail500,right,444,16617239.807624143,549349.59764837939,0.049013297208348822,17296216.127987359,16802886.881644659,31,42,-493329.24634269997,493329.24634269997,-0.029687797254773683,ok
