scan_id,diameter_um,flow_mm_s,extension,mode,support,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D235_F07_V01,235,7,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.042664171826972429,444,ok
D235_F07_V01,235,7,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.084608298696377635,444,ok
D235_F07_V01,235,7,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.072228628179784857,444,ok
D235_F07_V01,235,7,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.09709968029840825,444,ok
D235_F07_V01,235,7,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.080328610311872981,444,ok
D235_F07_V01,235,7,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.15544602704843075,444,ok
D235_F10_V01,235,10,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.29492677318844501,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.26028976052883307,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.20165094505747905,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.22724262949671128,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.21379101276564433,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.13995592397514101,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.27332325183572748,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.23822897220665401,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.17340442129220404,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.11503251962813714,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.17215230572361398,461,ok
D235_F10_V01,235,10,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.14495463635749109,461,ok
D285_F01_V01,285,1,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.2481569271783888,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.22248978160270269,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.1756680052894708,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.1890022994655822,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.15448321942527288,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.12051622517756268,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.054059753164857137,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.094071595608574546,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.11693174937816499,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.068932147621032391,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.11985171482567747,453,ok
D285_F01_V01,285,1,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.085870363051309337,453,ok
D285_F03_V01,285,3,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.090722264357997476,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.1447476044386172,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.048169650960158288,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.13445309358923077,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.089285993981588693,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.089980337268494248,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.045069260799951605,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.13535534938280577,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.087991301851825007,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.066262549666380718,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.064007757136776575,474,ok
D285_F03_V01,285,3,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.047221807336183988,474,ok
D285_F05_V01,285,5,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.16179153599178636,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.12022693685127235,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.166223656692394,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.20435402076881901,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.17122533660406319,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.10695048984308514,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.20662092868099649,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.071428643400409692,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.077397610795222213,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.13654465532043653,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.058860628584612766,492,ok
D285_F05_V01,285,5,A,detrended_51,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.074663202251004659,492,ok
