scan_id,diameter_um,flow_mm_s,region,metric,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,t06,right_mean,486,486,14,23808664.175755814,15368001.964001149,40068033.199686006,486,0,0
D128_F01_V01,128,1,t06,right_median,486,486,14,16572747.235525319,7907949.112408963,29280599.873481881,486,0,0
D128_F01_V01,128,1,t06,right_mad,486,486,14,11249083.87426017,6063192.7248363625,20564396.478569604,486,0,0
D128_F01_V01,128,1,t06,bg_mean,486,486,14,24266047.564834632,16221549.47421702,35103599.271512769,486,0,0
D128_F01_V01,128,1,t06,bg_median,486,486,14,16588183.75320366,9761952.3556463402,27154415.828139368,486,0,0
D128_F01_V01,128,1,t06,bg_mad,486,486,14,11316270.830804549,6539448.7133221738,18052874.477692116,486,0,0
D128_F01_V01,128,1,t07,z_local,486,486,14,0.75090659469410515,-0.20728195337326188,3.6274921544207412,470,16,0
D128_F01_V01,128,1,t07,real_minus_bg_mean,486,486,14,18837706.328047834,657284.34752408415,82689107.928744853,486,0,0
D128_F01_V01,128,1,t07,signed_asymmetry,486,486,14,0.023696979161422264,-0.55017880308445322,0.64651013852315686,272,214,0
D128_F01_V01,128,1,t07,real_mean,486,486,14,43353203.334883764,24915178.367014769,113393221.4935175,486,0,0
D128_F01_V01,128,1,t07,real_median,486,486,14,29073543.318546474,12522687.569920199,64044502.822752357,486,0,0
D128_F01_V01,128,1,t07,real_mad,486,486,14,19852708.78494088,7299156.1312669273,47857431.685981035,486,0,0
D128_F01_V01,128,1,t07,left_mean,486,486,14,24175355.565230023,16045873.231349673,34886903.558206461,486,0,0
D128_F01_V01,128,1,t07,left_median,486,486,14,16757557.543904081,9066742.4184730351,28044760.240578879,486,0,0
D128_F01_V01,128,1,t07,left_mad,486,486,14,11302713.514300037,5622080.2443942241,22028070.183877338,486,0,0
D128_F01_V01,128,1,t07,right_mean,486,486,14,23763497.10246104,14937770.636547055,40005487.375521474,486,0,0
D128_F01_V01,128,1,t07,right_median,486,486,14,16374022.475543264,7218480.2513860986,35526588.286623649,486,0,0
D128_F01_V01,128,1,t07,right_mad,486,486,14,11054443.254903844,4803946.9680028614,21980676.027627774,486,0,0
D128_F01_V01,128,1,t07,bg_mean,486,486,14,24040487.426452268,16730575.229561362,32910121.408923984,486,0,0
D128_F01_V01,128,1,t07,bg_median,486,486,14,16412117.100283008,10282203.190333512,24984214.11953555,486,0,0
D128_F01_V01,128,1,t07,bg_mad,486,486,14,11475611.658527471,6696048.10211155,17694514.890831083,486,0,0
D128_F01_V01,128,1,t08,z_local,486,486,14,0.61896775884831845,-0.36951336105320692,2.9494766656311056,460,26,0
D128_F01_V01,128,1,t08,real_minus_bg_mean,486,486,14,14995019.633670481,-5040213.7513642535,47340611.049329996,474,12,0
D128_F01_V01,128,1,t08,signed_asymmetry,486,486,14,-0.027696443201354209,-0.83166772302301173,0.55418626529513082,217,269,0
D128_F01_V01,128,1,t08,real_mean,486,486,14,38778198.279459715,18128235.327758495,71578947.471324906,486,0,0
D128_F01_V01,128,1,t08,real_median,486,486,14,26491931.151085936,11301717.52156698,54050960.588867851,486,0,0
D128_F01_V01,128,1,t08,real_mad,486,486,14,18225042.913841441,8908099.3390622865,40797421.97425548,486,0,0
D128_F01_V01,128,1,t08,left_mean,486,486,14,23376073.023109443,14626997.443480961,35819570.132548563,486,0,0
D128_F01_V01,128,1,t08,left_median,486,486,14,16425565.290124252,7912643.9555968605,30412715.572733134,486,0,0
D128_F01_V01,128,1,t08,left_mad,486,486,14,10697976.282572202,5395535.2971775252,22913492.603263851,486,0,0
D128_F01_V01,128,1,t08,right_mean,486,486,14,24093497.917956688,15325179.184809472,37146356.238536015,486,0,0
D128_F01_V01,128,1,t08,right_median,486,486,14,16649098.205049472,7900056.654538949,33592462.006359309,486,0,0
