scan_id,diameter_um,flow_mm_s,side,mode,kind,region,rho,n_pairs,status
D235_F05_V01,235,5,real,detrended_51,same_ROI_structural_vs_SV,tail100,0.70602844295930844,424,ok
D235_F05_V01,235,5,real,detrended_51,same_ROI_structural_vs_SV,tail500,0.69358873164968227,424,ok
D235_F05_V01,235,5,real,detrended_51,structural_source_vs_tail,tail100,0.44646379777509798,424,ok
D235_F05_V01,235,5,real,detrended_51,structural_source_vs_tail,tail500,0.52373468643434051,424,ok
D235_F05_V01,235,5,left,raw,same_ROI_structural_vs_SV,source,0.32497980966774503,424,ok
D235_F05_V01,235,5,left,raw,same_ROI_structural_vs_SV,tail100,0.32327500570681905,424,ok
D235_F05_V01,235,5,left,raw,same_ROI_structural_vs_SV,tail500,0.5094737919254414,424,ok
D235_F05_V01,235,5,left,raw,structural_source_vs_tail,tail100,0.45938051495186594,424,ok
D235_F05_V01,235,5,left,raw,structural_source_vs_tail,tail500,0.5200911516754434,424,ok
D235_F05_V01,235,5,left,detrended_51,same_ROI_structural_vs_SV,source,0.23234536788477733,424,ok
D235_F05_V01,235,5,left,detrended_51,same_ROI_structural_vs_SV,tail100,0.2863822868992621,424,ok
D235_F05_V01,235,5,left,detrended_51,same_ROI_structural_vs_SV,tail500,0.41921162472930384,424,ok
D235_F05_V01,235,5,left,detrended_51,structural_source_vs_tail,tail100,0.29526394380594601,424,ok
D235_F05_V01,235,5,left,detrended_51,structural_source_vs_tail,tail500,0.33331944016933951,424,ok
D235_F05_V01,235,5,right,raw,same_ROI_structural_vs_SV,source,0.23198494974063491,424,ok
D235_F05_V01,235,5,right,raw,same_ROI_structural_vs_SV,tail100,0.22022354987759857,424,ok
D235_F05_V01,235,5,right,raw,same_ROI_structural_vs_SV,tail500,0.36657582985020581,424,ok
D235_F05_V01,235,5,right,raw,structural_source_vs_tail,tail100,0.226800324304752,424,ok
D235_F05_V01,235,5,right,raw,structural_source_vs_tail,tail500,0.24900591147739706,424,ok
D235_F05_V01,235,5,right,detrended_51,same_ROI_structural_vs_SV,source,0.15181515476029003,424,ok
D235_F05_V01,235,5,right,detrended_51,same_ROI_structural_vs_SV,tail100,0.24667793392502857,424,ok
D235_F05_V01,235,5,right,detrended_51,same_ROI_structural_vs_SV,tail500,0.42038918977639189,424,ok
D235_F05_V01,235,5,right,detrended_51,structural_source_vs_tail,tail100,0.25313367476509951,424,ok
D235_F05_V01,235,5,right,detrended_51,structural_source_vs_tail,tail500,0.31735146347761339,424,ok
D235_F07_V01,235,7,real,raw,same_ROI_structural_vs_SV,source,0.81540637195391552,444,ok
D235_F07_V01,235,7,real,raw,same_ROI_structural_vs_SV,tail100,0.80483287964962957,444,ok
D235_F07_V01,235,7,real,raw,same_ROI_structural_vs_SV,tail500,0.78156730296634425,444,ok
D235_F07_V01,235,7,real,raw,structural_source_vs_tail,tail100,0.49111262072430817,444,ok
D235_F07_V01,235,7,real,raw,structural_source_vs_tail,tail500,0.56385821487401622,444,ok
D235_F07_V01,235,7,real,detrended_51,same_ROI_structural_vs_SV,source,0.75284405380337649,444,ok
D235_F07_V01,235,7,real,detrended_51,same_ROI_structural_vs_SV,tail100,0.7618065989369609,444,ok
D235_F07_V01,235,7,real,detrended_51,same_ROI_structural_vs_SV,tail500,0.734373879642649,444,ok
D235_F07_V01,235,7,real,detrended_51,structural_source_vs_tail,tail100,0.42547884292126936,444,ok
D235_F07_V01,235,7,real,detrended_51,structural_source_vs_tail,tail500,0.51491234768801608,444,ok
D235_F07_V01,235,7,left,raw,same_ROI_structural_vs_SV,source,0.27431181403332466,444,ok
D235_F07_V01,235,7,left,raw,same_ROI_structural_vs_SV,tail100,0.26430975069217899,444,ok
D235_F07_V01,235,7,left,raw,same_ROI_structural_vs_SV,tail500,0.47872667858971663,444,ok
D235_F07_V01,235,7,left,raw,structural_source_vs_tail,tail100,0.41654388301609752,444,ok
D235_F07_V01,235,7,left,raw,structural_source_vs_tail,tail500,0.4882022814657811,444,ok
D235_F07_V01,235,7,left,detrended_51,same_ROI_structural_vs_SV,source,0.19364808474487863,444,ok
D235_F07_V01,235,7,left,detrended_51,same_ROI_structural_vs_SV,tail100,0.23264339614629162,444,ok
D235_F07_V01,235,7,left,detrended_51,same_ROI_structural_vs_SV,tail500,0.40346523692323127,444,ok
D235_F07_V01,235,7,left,detrended_51,structural_source_vs_tail,tail100,0.2382541359718881,444,ok
D235_F07_V01,235,7,left,detrended_51,structural_source_vs_tail,tail500,0.30432425696048787,444,ok
D235_F07_V01,235,7,right,raw,same_ROI_structural_vs_SV,source,0.23888280702139225,444,ok
D235_F07_V01,235,7,right,raw,same_ROI_structural_vs_SV,tail100,0.30014662746546988,444,ok
D235_F07_V01,235,7,right,raw,same_ROI_structural_vs_SV,tail500,0.39702508707505285,444,ok
D235_F07_V01,235,7,right,raw,structural_source_vs_tail,tail100,0.22101221621347422,444,ok
D235_F07_V01,235,7,right,raw,structural_source_vs_tail,tail500,0.25786156968849033,444,ok
D235_F07_V01,235,7,right,detrended_51,same_ROI_structural_vs_SV,source,0.26709139990601272,444,ok
D235_F07_V01,235,7,right,detrended_51,same_ROI_structural_vs_SV,tail100,0.32947356424864921,444,ok
D235_F07_V01,235,7,right,detrended_51,same_ROI_structural_vs_SV,tail500,0.47432690280867679,444,ok
