scan_id,diameter_um,flow_mm_s,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,17,400,425,412.5,tail_mean,486,14,25733573.722709306,14265689.835154312,46657685.772087432,486,0,0
D128_F01_V01,128,1,17,400,425,412.5,RI,486,14,0.13803686211668031,0.037561826699563601,0.29303358011260328,486,0,0
D128_F01_V01,128,1,18,425,450,437.5,tail_mean,486,14,24727062.361822128,14461373.285930963,40395770.129263788,486,0,0
D128_F01_V01,128,1,18,425,450,437.5,RI,486,14,0.13203764212342836,0.049659764209419512,0.26313949804790676,486,0,0
D128_F01_V01,128,1,19,450,475,462.5,tail_mean,486,14,24458087.643950097,13944929.862432826,38544492.038090408,486,0,0
D128_F01_V01,128,1,19,450,475,462.5,RI,486,14,0.13235838135757141,0.054303796745352101,0.32237846813453341,486,0,0
D128_F01_V01,128,1,20,475,500,487.5,tail_mean,486,14,24221680.054948177,13934880.534040943,42383676.658023275,486,0,0
D128_F01_V01,128,1,20,475,500,487.5,RI,486,14,0.13178441990359113,0.051551305764669993,0.32065064045565744,486,0,0
D128_F03_V01,128,3,1,0,25,12.5,tail_mean,468,32,99795776.924342737,38200067.120443761,268626906.18361872,468,0,0
D128_F03_V01,128,3,1,0,25,12.5,RI,468,32,0.52273848245680332,0.17961003354422361,1.5475940411374207,468,0,0
D128_F03_V01,128,3,2,25,50,37.5,tail_mean,468,32,81429405.080843896,33192194.076621618,210511216.58788723,468,0,0
D128_F03_V01,128,3,2,25,50,37.5,RI,468,32,0.43674014578157611,0.17946229282028478,1.0535588735289336,468,0,0
D128_F03_V01,128,3,3,50,75,62.5,tail_mean,468,32,72241661.517101556,31993590.250401352,215983833.52812666,468,0,0
D128_F03_V01,128,3,3,50,75,62.5,RI,468,32,0.38963789628405565,0.10925898361076665,1.1720830396621937,468,0,0
D128_F03_V01,128,3,4,75,100,87.5,tail_mean,468,32,60624779.608149379,32901962.870756123,124502619.98699242,468,0,0
D128_F03_V01,128,3,4,75,100,87.5,RI,468,32,0.32098644356865247,0.097466939941003583,0.83093171166363744,468,0,0
D128_F03_V01,128,3,5,100,125,112.5,tail_mean,468,32,53309820.640582129,29225559.708829224,111557860.42227924,468,0,0
D128_F03_V01,128,3,5,100,125,112.5,RI,468,32,0.28589797556184288,0.11739334347331649,0.76441787146531159,468,0,0
D128_F03_V01,128,3,6,125,150,137.5,tail_mean,468,32,47339099.415490329,25693397.657863576,117616613.01192273,468,0,0
D128_F03_V01,128,3,6,125,150,137.5,RI,468,32,0.25306827015358618,0.091516797118048068,0.74413627153948803,468,0,0
D128_F03_V01,128,3,7,150,175,162.5,tail_mean,468,32,43159753.55724407,20773457.094039187,71291478.576168656,468,0,0
D128_F03_V01,128,3,7,150,175,162.5,RI,468,32,0.22691141889337038,0.07734003286026464,0.52492701592100643,468,0,0
D128_F03_V01,128,3,8,175,200,187.5,tail_mean,468,32,39138608.748510897,21061492.663848445,66694476.753040001,468,0,0
D128_F03_V01,128,3,8,175,200,187.5,RI,468,32,0.20613575156691977,0.065663301208036137,0.46733966665750393,468,0,0
D128_F03_V01,128,3,9,200,225,212.5,tail_mean,468,32,35478355.90081571,20215403.157123215,59268828.285433263,468,0,0
D128_F03_V01,128,3,9,200,225,212.5,RI,468,32,0.18547554676765712,0.070906327513697298,0.43352130741104722,468,0,0
D128_F03_V01,128,3,10,225,250,237.5,tail_mean,468,32,33219337.214175142,17371986.310266666,54441763.502752803,468,0,0
D128_F03_V01,128,3,10,225,250,237.5,RI,468,32,0.17547871566930962,0.060562310453489476,0.36024434642961378,468,0,0
D128_F03_V01,128,3,11,250,275,262.5,tail_mean,468,32,31035336.113851298,16874814.087343913,52710103.411431909,468,0,0
D128_F03_V01,128,3,11,250,275,262.5,RI,468,32,0.16478273028648557,0.050760266508299644,0.40769859335180214,468,0,0
D128_F03_V01,128,3,12,275,300,287.5,tail_mean,468,32,29901754.847438835,14716178.268030694,47823071.484840482,468,0,0
D128_F03_V01,128,3,12,275,300,287.5,RI,468,32,0.15377981220859202,0.06938849102304033,0.49527464044853309,468,0,0
D128_F03_V01,128,3,13,300,325,312.5,tail_mean,468,32,27993163.379588041,15473197.336411139,46325653.411114939,468,0,0
D128_F03_V01,128,3,13,300,325,312.5,RI,468,32,0.14700069286806283,0.058606010164701586,0.47746891423758836,468,0,0
D128_F03_V01,128,3,14,325,350,337.5,tail_mean,468,32,26603560.382188518,14565755.147222862,44322928.287798323,468,0,0
D128_F03_V01,128,3,14,325,350,337.5,RI,468,32,0.14135036207404397,0.050878351989162442,0.37353152395332578,468,0,0
D128_F03_V01,128,3,15,350,375,362.5,tail_mean,468,32,26014915.762014292,16619799.242274806,49041872.704824008,468,0,0
