scan_id,diameter_um,flow_mm_s,mode,support,pair,mean_mean_rho,actual_q_q_rho,actual_q_minus_mean,theoretical_q_q_rho,theoretical_scale_error,n_pairs,status
D235_F10_V01,235,10,raw,real_all,W500,0.38730009027094758,0.38738864643797211,8.8556167024522736e-05,0.38730009027094758,0,461,ok
D235_F10_V01,235,10,raw,real_all,C100,0.50765098336540382,0.50757822767631311,-7.2755689090708842e-05,0.50765098336540382,0,461,ok
D235_F10_V01,235,10,detrended_51,real_all,W100,0.37388206639269184,0.37364052729626057,-0.0002415390964312647,0.37388206639269184,0,461,ok
D235_F10_V01,235,10,detrended_51,real_all,W500,0.40743290116263842,0.40726852717322992,-0.00016437398940849501,0.40743290116263842,0,461,ok
D235_F10_V01,235,10,detrended_51,real_all,C100,0.48562640145051222,0.48553355832073847,-9.2843129773756417e-05,0.48562640145051222,0,461,ok
D285_F01_V01,285,1,raw,real_all,W100,0.39274200481707977,0.39280964737829566,6.7642561215885966e-05,0.39274200481707977,0,453,ok
D285_F01_V01,285,1,raw,real_all,W500,0.68581695561486189,0.68591596676839728,9.9011153535388807e-05,0.68581695561486189,0,453,ok
D285_F01_V01,285,1,raw,real_all,C100,0.49965029828562252,0.49987013660957413,0.00021983832395161551,0.49965029828562252,0,453,ok
D285_F01_V01,285,1,detrended_51,real_all,W100,0.31717149804628997,0.31737707241640062,0.0002055743701106505,0.31717149804628997,0,453,ok
D285_F01_V01,285,1,detrended_51,real_all,W500,0.3585297848730235,0.35876317858148937,0.00023339370846586771,0.3585297848730235,0,453,ok
D285_F01_V01,285,1,detrended_51,real_all,C100,0.42012934861809098,0.42028482667842604,0.00015547806033505696,0.42012934861809098,0,453,ok
D285_F03_V01,285,3,raw,real_all,W100,0.46203013354028954,0.46207137454522917,4.1241004939629455e-05,0.46203013354028954,0,474,ok
D285_F03_V01,285,3,raw,real_all,W500,0.67636819991746167,0.67648110561950947,0.00011290570204780526,0.67636819991746167,0,474,ok
D285_F03_V01,285,3,raw,real_all,C100,0.49726741721164042,0.49724916299633931,-1.8254215301105603e-05,0.49726741721164042,0,474,ok
D285_F03_V01,285,3,detrended_51,real_all,W100,0.2003444456447302,0.2005491254293286,0.00020467978459839942,0.2003444456447302,0,474,ok
D285_F03_V01,285,3,detrended_51,real_all,W500,0.27000212184519917,0.27006483511785734,6.2713272658165842e-05,0.27000212184519917,0,474,ok
D285_F03_V01,285,3,detrended_51,real_all,C100,0.22183742335902024,0.22197979677914864,0.00014237342012840548,0.22183742335902024,0,474,ok
D285_F05_V01,285,5,raw,real_all,W100,0.37920756972862235,0.37923900681771716,3.1437089094810133e-05,0.37920756972862235,0,492,ok
D285_F05_V01,285,5,raw,real_all,W500,0.64763970435835949,0.64758287577422646,-5.6828584133028492e-05,0.64763970435835949,0,492,ok
D285_F05_V01,285,5,raw,real_all,C100,0.54019105890897379,0.54004384869369326,-0.00014721021528052436,0.54019105890897379,0,492,ok
D285_F05_V01,285,5,detrended_51,real_all,W100,0.22799809119776163,0.22795899621832275,-3.9094979438880628e-05,0.22799809119776163,0,492,ok
D285_F05_V01,285,5,detrended_51,real_all,W500,0.28733370987447399,0.28716816096522485,-0.00016554890924913579,0.28733370987447399,0,492,ok
D285_F05_V01,285,5,detrended_51,real_all,C100,0.33601827724343497,0.33595106967846078,-6.7207564974192113e-05,0.33601827724343497,0,492,ok
D285_F07_V01,285,7,raw,real_all,W100,0.6168073400866817,0.61685742780576636,5.0087719084657145e-05,0.6168073400866817,0,458,ok
D285_F07_V01,285,7,raw,real_all,W500,0.74119862909538148,0.74125296365349069,5.4334558109214726e-05,0.74119862909538148,0,458,ok
D285_F07_V01,285,7,raw,real_all,C100,0.69699428094426463,0.69699540510753588,1.1241632712488681e-06,0.69699428094426463,0,458,ok
D285_F07_V01,285,7,detrended_51,real_all,W100,0.22928497994187977,0.229114792758146,-0.00017018718373376651,0.22928497994187977,0,458,ok
D285_F07_V01,285,7,detrended_51,real_all,W500,0.24010875983557273,0.24001139410628383,-9.7365729288895198e-05,0.24010875983557273,0,458,ok
D285_F07_V01,285,7,detrended_51,real_all,C100,0.29513468010165073,0.29522761106265899,9.2930961008264035e-05,0.29513468010165073,0,458,ok
D285_F10_V01,285,10,raw,real_all,W100,0.4544457144222277,0.45433791147466818,-0.00010780294755952102,0.4544457144222277,0,494,ok
D285_F10_V01,285,10,raw,real_all,W500,0.62524609656028463,0.62519443475993064,-5.1661800353985932e-05,0.62524609656028463,0,494,ok
D285_F10_V01,285,10,raw,real_all,C100,0.54624724053570006,0.5462220566522904,-2.5183883409662933e-05,0.54624724053570006,0,494,ok
D285_F10_V01,285,10,detrended_51,real_all,W100,0.25952167765251671,0.25927789769951032,-0.00024377995300639554,0.25952167765251671,0,494,ok
D285_F10_V01,285,10,detrended_51,real_all,W500,0.31982355557276509,0.31955085985036841,-0.00027269572239668749,0.31982355557276509,0,494,ok
