diameter_um,mode,pair,source_table,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10,region,side,offset
128,,,background_drift.csv,absolute_difference,5,0,1938408.4639934171,1042628.1844905913,2690279.1090473775,5,0,0,1956964.1344744191,1111720.3228320722,2690279.1090473775,1042628.1844905913,1938408.4639934171,source,right,
128,,,background_drift.csv,relative_difference,5,0,-0.12868005648697559,-0.17614363209187175,-0.067161821712126868,0,5,0,-0.12991810042507715,-0.071183720831347497,-0.17614363209187175,-0.067161821712126868,-0.12868005648697559,source,right,
128,,,background_drift.csv,RCV,5,0,0.097160001630336459,0.091738923011314338,0.09868804092829804,5,0,0,0.091738923011314338,0.0982130448656926,0.09868804092829804,0.095164975621881892,0.097160001630336459,tail100,bg,
128,,,background_drift.csv,signed_difference,5,0,-1488317.8268359154,-1892021.7339650989,-1056142.1611790769,0,5,0,-1056142.1611790769,-1203307.3808362372,-1892021.7339650989,-1488317.8268359154,-1684873.8608109728,tail100,bg,
128,,,background_drift.csv,absolute_difference,5,0,1488317.8268359154,1056142.1611790769,1892021.7339650989,5,0,0,1056142.1611790769,1203307.3808362372,1892021.7339650989,1488317.8268359154,1684873.8608109728,tail100,bg,
128,,,background_drift.csv,relative_difference,5,0,-0.089239238898650042,-0.11408192803654672,-0.063849737718150668,0,5,0,-0.063849737718150668,-0.071440656588942539,-0.11408192803654672,-0.089239238898650042,-0.10305799233989173,tail100,bg,
128,,,background_drift.csv,RCV,5,0,0.12361688776150852,0.12129945391985514,0.12860969132650832,5,0,0,0.12294601455391702,0.12860969132650832,0.12361688776150852,0.12511324989732289,0.12129945391985514,tail100,left,
128,,,background_drift.csv,signed_difference,5,0,-1459845.3499274384,-1639764.8986002766,-955727.41235999018,0,5,0,-1041961.8913573641,-955727.41235999018,-1597373.6819649842,-1639764.8986002766,-1459845.3499274384,tail100,left,
128,,,background_drift.csv,absolute_difference,5,0,1459845.3499274384,955727.41235999018,1639764.8986002766,5,0,0,1041961.8913573641,955727.41235999018,1597373.6819649842,1639764.8986002766,1459845.3499274384,tail100,left,
128,,,background_drift.csv,relative_difference,5,0,-0.08983646547316762,-0.098804338721817528,-0.056261788916046232,0,5,0,-0.062938811950965595,-0.056261788916046232,-0.096344184069306102,-0.098804338721817528,-0.08983646547316762,tail100,left,
128,,,background_drift.csv,RCV,5,0,0.12517410524097627,0.11490352736975162,0.13390354385443379,5,0,0,0.11490352736975162,0.13017664504704621,0.13390354385443379,0.12266334212985135,0.12517410524097627,tail100,right,
128,,,background_drift.csv,signed_difference,5,0,-1432782.191394724,-1949631.9770081546,-1081020.9177843351,0,5,0,-1432782.191394724,-1376276.3605229557,-1949631.9770081546,-1653998.1468169317,-1081020.9177843351,tail100,right,
128,,,background_drift.csv,absolute_difference,5,0,1432782.191394724,1081020.9177843351,1949631.9770081546,5,0,0,1432782.191394724,1376276.3605229557,1949631.9770081546,1653998.1468169317,1081020.9177843351,tail100,right,
128,,,background_drift.csv,relative_difference,5,0,-0.086283395829982235,-0.11650641393002419,-0.065951241232018412,0,5,0,-0.086283395829982235,-0.081855724881278916,-0.11650641393002419,-0.098988994010882042,-0.065951241232018412,tail100,right,
128,,,background_drift.csv,RCV,5,0,0.052689275310792927,0.047967611311733813,0.05511827760872038,5,0,0,0.05511827760872038,0.052689275310792927,0.047967611311733813,0.050015769605096086,0.055110405460276325,tail500,bg,
