scan_id,diameter_um,flow_mm_s,side,mode,support,n_common,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,17,400,425,412.5,False,0.030439018444324752,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,18,425,450,437.5,False,-0.034050703821923746,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,19,450,475,462.5,False,0.0094184072991389048,486,ok
D128_F01_V01,128,1,real_matched,detrended_51,real_L_R_common,486,6,0.83333333333333337,1,0.91666666666666663,20,475,500,487.5,False,0.0076574178909870685,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,1,0,25,12.5,False,0.020541745413295284,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,2,25,50,37.5,False,0.014225080295098537,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,3,50,75,62.5,False,0.020007294149043519,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,4,75,100,87.5,False,0.021544062774128511,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,5,100,125,112.5,False,-0.019026634245882239,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,6,125,150,137.5,False,0.025022792647925167,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,7,150,175,162.5,False,0.032804394562140723,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,8,175,200,187.5,False,0.037096458260736244,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,9,200,225,212.5,False,0.035434030745599199,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,10,225,250,237.5,False,-0.013667019840503314,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,11,250,275,262.5,False,0.014835873096836026,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,12,275,300,287.5,False,-0.031522687928345325,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,13,300,325,312.5,False,0.0016712001404993581,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,14,325,350,337.5,False,0.01434901964063944,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,15,350,375,362.5,False,-0.04060188359443255,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,16,375,400,387.5,False,0.10684642702249843,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,17,400,425,412.5,False,0.0074351206703725066,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,18,425,450,437.5,False,0.035812582397316543,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,19,450,475,462.5,False,0.018017954918344081,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,1,0,0.16666666666666666,0.083333333333333329,20,475,500,487.5,False,0.054074585924138711,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,1,0,25,12.5,False,0.028190113193212109,486,ok
D128_F01_V01,128,1,left,detrended_51,real_L_R_common,486,2,0.16666666666666666,0.33333333333333331,0.25,2,25,50,37.5,False,0.02223722059327379,486,ok
