scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status,baseline_common_rho,rho_change
D235_F07_V01,235,7,xm,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.10713579284596297,444,ok,0.15544602704843075,-0.048310234202467772
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.2037056814865259,444,ok,0.19372045319919728,0.009985228287328618
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.13874116823656754,444,ok,0.17307192159018697,-0.034330753353619431
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.21334750299043539,444,ok,0.22133045242072749,-0.0079829494302920967
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.18108829064592757,444,ok,0.17050399387167486,0.010584296774252711
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.1334924053055393,444,ok,0.22875324937682484,-0.095260844071285544
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.093136329480099853,444,ok,0.1468034642219487,-0.053667134741848851
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.09536756284635857,444,ok,0.11831795766106105,-0.022950394814702485
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.11907851866236208,444,ok,0.12907574281164333,-0.009997224149281253
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.091255179005900147,444,ok,0.13920048944379823,-0.047945310437898084
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.081542434779335024,444,ok,0.042664171826972429,0.038878262952362595
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.071146017463896358,444,ok,0.084608298696377635,-0.013462281232481277
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.10633183490822774,444,ok,0.072228628179784857,0.034103206728442886
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.083077694839651633,444,ok,0.060120150226342366,0.022957544613309268
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.14868561263644389,444,ok,0.09709968029840825,0.051585932338035642
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.052625912784595885,444,ok,0.080328610311872981,-0.027702697527277095
D235_F07_V01,235,7,zp,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.12026268470425536,444,ok,0.15544602704843075,-0.035183342344175389
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.20883865267065946,444,ok,0.19372045319919728,0.015118199471462174
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.17694760320369216,444,ok,0.17307192159018697,0.003875681613505183
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.20212271342995961,444,ok,0.22133045242072749,-0.019207738990767886
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.18375704462708961,444,ok,0.17050399387167486,0.013253050755414747
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.1869024425212949,444,ok,0.22875324937682484,-0.041850806855529943
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.14870140962715536,444,ok,0.1468034642219487,0.001897945405206658
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.12518017390882322,444,ok,0.11831795766106105,0.0068622162477621623
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.14023619019729175,444,ok,0.12907574281164333,0.01116044738564842
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.17125517622235004,444,ok,0.13920048944379823,0.032054686778551805
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.041486095531332999,444,ok,0.042664171826972429,-0.0011780762956394297
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.074834303754958961,444,ok,0.084608298696377635,-0.0097739949414186733
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.058382138895224006,444,ok,0.072228628179784857,-0.013846489284560851
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.13048958667116489,444,ok,0.060120150226342366,0.07036943644482252
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.043515425303191239,444,ok,0.09709968029840825,-0.053584254995217011
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.14709595027050124,444,ok,0.080328610311872981,0.066767339958628255
D235_F07_V01,235,7,zm,five_position_common,detrended_51,444,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.12969377631826928,444,ok,0.15544602704843075,-0.025752250730161463
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.35441887317765325,461,ok,0.35441887317765325,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.29492677318844501,461,ok,0.29492677318844501,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.26028976052883307,461,ok,0.26028976052883307,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.20165094505747905,461,ok,0.20165094505747905,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.26096349477894742,461,ok,0.26096349477894742,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.22724262949671128,461,ok,0.22724262949671128,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.21379101276564433,461,ok,0.21379101276564433,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.13995592397514101,461,ok,0.13995592397514101,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.25281509096750826,461,ok,0.25281509096750826,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.27332325183572748,461,ok,0.27332325183572748,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.23822897220665401,461,ok,0.23822897220665401,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.17340442129220404,461,ok,0.17340442129220404,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.18328976512056991,461,ok,0.18328976512056991,0
D235_F10_V01,235,10,baseline,five_position_common,detrended_51,461,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.11503251962813714,461,ok,0.11503251962813714,0
