scan_id,diameter_um,flow_mm_s,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,mode,rho,n_pairs,status,support
D128_F07_V01,128,7,20,475,500,487.5,raw,0.017131016215763656,493,ok,real_L_R_common
D128_F07_V01,128,7,20,475,500,487.5,detrended_51,-0.057541171656711958,493,ok,real_L_R_common
D128_F10_V01,128,10,1,0,25,12.5,raw,0.023545966278536265,484,ok,real_L_R_common
D128_F10_V01,128,10,1,0,25,12.5,detrended_51,0.033596392309908921,484,ok,real_L_R_common
D128_F10_V01,128,10,2,25,50,37.5,raw,0.057784666741106987,484,ok,real_L_R_common
D128_F10_V01,128,10,2,25,50,37.5,detrended_51,0.025270440411721704,484,ok,real_L_R_common
D128_F10_V01,128,10,3,50,75,62.5,raw,-0.045063310431469841,484,ok,real_L_R_common
D128_F10_V01,128,10,3,50,75,62.5,detrended_51,-0.048438546820853128,484,ok,real_L_R_common
D128_F10_V01,128,10,4,75,100,87.5,raw,-0.016559513181492725,484,ok,real_L_R_common
D128_F10_V01,128,10,4,75,100,87.5,detrended_51,-0.046581112904518905,484,ok,real_L_R_common
D128_F10_V01,128,10,5,100,125,112.5,raw,0.10810173486511045,484,ok,real_L_R_common
D128_F10_V01,128,10,5,100,125,112.5,detrended_51,0.062155762092461764,484,ok,real_L_R_common
D128_F10_V01,128,10,6,125,150,137.5,raw,0.0053863743525941477,484,ok,real_L_R_common
D128_F10_V01,128,10,6,125,150,137.5,detrended_51,-0.017164044396083801,484,ok,real_L_R_common
D128_F10_V01,128,10,7,150,175,162.5,raw,-0.0017347063514701346,484,ok,real_L_R_common
D128_F10_V01,128,10,7,150,175,162.5,detrended_51,-0.071364485486749937,484,ok,real_L_R_common
D128_F10_V01,128,10,8,175,200,187.5,raw,0.046217382308006164,484,ok,real_L_R_common
D128_F10_V01,128,10,8,175,200,187.5,detrended_51,-0.00584032380505356,484,ok,real_L_R_common
D128_F10_V01,128,10,9,200,225,212.5,raw,0.043605373885313575,484,ok,real_L_R_common
D128_F10_V01,128,10,9,200,225,212.5,detrended_51,0.023612477102283567,484,ok,real_L_R_common
D128_F10_V01,128,10,10,225,250,237.5,raw,0.048881781190978045,484,ok,real_L_R_common
D128_F10_V01,128,10,10,225,250,237.5,detrended_51,-0.025279222752572602,484,ok,real_L_R_common
D128_F10_V01,128,10,11,250,275,262.5,raw,0.060116095143192654,484,ok,real_L_R_common
D128_F10_V01,128,10,11,250,275,262.5,detrended_51,-0.07763067234675218,484,ok,real_L_R_common
D128_F10_V01,128,10,12,275,300,287.5,raw,0.099237163146539298,484,ok,real_L_R_common
D128_F10_V01,128,10,12,275,300,287.5,detrended_51,0.04467828867129639,484,ok,real_L_R_common
D128_F10_V01,128,10,13,300,325,312.5,raw,-0.013109257394331351,484,ok,real_L_R_common
D128_F10_V01,128,10,13,300,325,312.5,detrended_51,-0.02842089791073639,484,ok,real_L_R_common
D128_F10_V01,128,10,14,325,350,337.5,raw,-0.016278403964317335,484,ok,real_L_R_common
D128_F10_V01,128,10,14,325,350,337.5,detrended_51,-0.080737242519229369,484,ok,real_L_R_common
D128_F10_V01,128,10,15,350,375,362.5,raw,0.15027076342426166,484,ok,real_L_R_common
D128_F10_V01,128,10,15,350,375,362.5,detrended_51,0.1056621686490552,484,ok,real_L_R_common
D128_F10_V01,128,10,16,375,400,387.5,raw,0.086995258927943006,484,ok,real_L_R_common
D128_F10_V01,128,10,16,375,400,387.5,detrended_51,-0.0051504709239000553,484,ok,real_L_R_common
D128_F10_V01,128,10,17,400,425,412.5,raw,0.13012393254437182,484,ok,real_L_R_common
D128_F10_V01,128,10,17,400,425,412.5,detrended_51,-0.012717956490530209,484,ok,real_L_R_common
