scan_id,diameter_um,flow_mm_s,mode,pair,metric,baseline_51,value,change
D235_F07_V01,235,7,detrended_31,W500,rho0,0.32119183053452915,0.24693320583156003,-0.074258624702969123
D235_F07_V01,235,7,detrended_31,W500,specificity,0.29907305063197642,0.23552114528561366,-0.063551905346362764
D235_F07_V01,235,7,detrended_31,C100,rho0,0.32423145818034615,0.2214289690302412,-0.10280248915010495
D235_F07_V01,235,7,detrended_31,C100,specificity,0.3137402244691409,0.21310116066066379,-0.10063906380847712
D235_F07_V01,235,7,detrended_101,C16,rho_median,0.13413811612772078,0.18786866643558109,0.053730550307860309
D235_F07_V01,235,7,detrended_101,W100,rho0,0.26885517043200452,0.37211460839069038,0.10325943795868586
D235_F07_V01,235,7,detrended_101,W100,specificity,0.2492339919454539,0.48110364853469462,0.23186965658924072
D235_F07_V01,235,7,detrended_101,W500,rho0,0.32119183053452915,0.4137318579780993,0.09254002744357015
D235_F07_V01,235,7,detrended_101,W500,specificity,0.29907305063197642,0.51987506350311585,0.22080201287113943
D235_F07_V01,235,7,detrended_101,C100,rho0,0.32423145818034615,0.46785864054243503,0.14362718236208888
D235_F07_V01,235,7,detrended_101,C100,specificity,0.3137402244691409,0.62585926281788673,0.31211903834874583
D235_F10_V01,235,10,detrended_31,C16,rho_median,0.22051682113117782,0.13083455137482003,-0.089682269756357791
D235_F10_V01,235,10,detrended_31,W100,rho0,0.37388206639269184,0.28114292644015304,-0.092739139952538796
D235_F10_V01,235,10,detrended_31,W100,specificity,0.2797797409825809,0.23462200492232527,-0.045157736060255638
D235_F10_V01,235,10,detrended_31,W500,rho0,0.40743290116263842,0.29293434019906078,-0.11449856096357763
D235_F10_V01,235,10,detrended_31,W500,specificity,0.29395113932210964,0.23786805821450133,-0.056083081107608318
D235_F10_V01,235,10,detrended_31,C100,rho0,0.48562640145051222,0.34947687503334596,-0.13614952641716627
D235_F10_V01,235,10,detrended_31,C100,specificity,0.37021180826864974,0.30558261716522017,-0.064629191103429573
D235_F10_V01,235,10,detrended_101,C16,rho_median,0.22051682113117782,0.28096563827701426,0.060448817145836442
