diameter_um,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,metric,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
235,9,200,225,212.5,tail_mean,raw_depth_profiles.csv,median,5,0,26789008.637922354,26465112.346503876,27271359.901223183,5,0,0,26789008.637922354,27191156.515928492,27271359.901223183,26465112.346503876,26506430.322563928
235,10,225,250,237.5,RI,raw_depth_profiles.csv,median,5,0,0.1197441851829158,0.11622745320293973,0.1219341584277146,5,0,0,0.1219341584277146,0.12024192292353487,0.1197441851829158,0.11935614119021545,0.11622745320293973
235,10,225,250,237.5,tail_mean,raw_depth_profiles.csv,median,5,0,25794489.444081925,25424577.681195978,25995493.427348781,5,0,0,25424577.681195978,25995493.427348781,25876504.689627137,25507244.028801553,25794489.444081925
235,11,250,275,262.5,RI,raw_depth_profiles.csv,median,5,0,0.11441510602503559,0.11243387633571103,0.12107414905959127,5,0,0,0.12107414905959127,0.11962549779559134,0.11440350882290529,0.11441510602503559,0.11243387633571103
235,11,250,275,262.5,tail_mean,raw_depth_profiles.csv,median,5,0,24808974.938957967,24660727.876010209,25703106.461982939,5,0,0,24886265.583758034,25703106.461982939,24808974.938957967,24660727.876010209,24742395.69925189
235,12,275,300,287.5,RI,raw_depth_profiles.csv,median,5,0,0.11240864076472601,0.10962669495510567,0.11811813332059282,5,0,0,0.11811813332059282,0.11621604237313013,0.11219551502395354,0.11240864076472601,0.10962669495510567
235,12,275,300,287.5,tail_mean,raw_depth_profiles.csv,median,5,0,24173934.558110829,24152765.018487282,24627504.098708514,5,0,0,24152765.018487282,24627504.098708514,24320402.69781892,24167136.727617119,24173934.558110829
235,13,300,325,312.5,RI,raw_depth_profiles.csv,median,5,0,0.11215238700428637,0.10800027343087309,0.11621126271211546,5,0,0,0.11621126271211546,0.11316898055076829,0.11215238700428637,0.1088572906423135,0.10800027343087309
235,13,300,325,312.5,tail_mean,raw_depth_profiles.csv,median,5,0,23629015.953934334,23512872.204445966,24136959.202174269,5,0,0,23629015.953934334,24136959.202174269,23943176.748394601,23574490.786064144,23512872.204445966
235,14,325,350,337.5,RI,raw_depth_profiles.csv,median,5,0,0.10854742250466387,0.10525719904562293,0.11211338939152835,5,0,0,0.11177462489916307,0.11211338939152835,0.10854742250466387,0.10835480231508478,0.10525719904562293
235,14,325,350,337.5,tail_mean,raw_depth_profiles.csv,median,5,0,23292407.108836215,23059510.284479454,24007813.230291598,5,0,0,23059510.284479454,24007813.230291598,23561962.839972936,23292407.108836215,23263423.931891654
235,15,350,375,362.5,RI,raw_depth_profiles.csv,median,5,0,0.10835381768141511,0.10450595090982043,0.11155235025594444,5,0,0,0.11155235025594444,0.10994548461097098,0.10835381768141511,0.10450595090982043,0.10509745654515187
235,15,350,375,362.5,tail_mean,raw_depth_profiles.csv,median,5,0,22953748.640816592,22521218.840399612,23675261.53917741,5,0,0,22867455.356197812,23675261.53917741,23022054.044101611,22521218.840399612,22953748.640816592
235,16,375,400,387.5,RI,raw_depth_profiles.csv,median,5,0,0.10655851092062543,0.10264746145647341,0.11081198597427749,5,0,0,0.11081198597427749,0.10915248706453376,0.10655851092062543,0.10500943434298279,0.10264746145647341
235,16,375,400,387.5,tail_mean,raw_depth_profiles.csv,median,5,0,22932528.900263716,22511979.809514731,23177394.440790907,5,0,0,22863797.090142101,23095628.625831045,23177394.440790907,22511979.809514731,22932528.900263716
235,17,400,425,412.5,RI,raw_depth_profiles.csv,median,5,0,0.10619851681502368,0.10291155462576805,0.10919339655529003,5,0,0,0.10919339655529003,0.10771564043757893,0.1059183917019467,0.10619851681502368,0.10291155462576805
235,17,400,425,412.5,tail_mean,raw_depth_profiles.csv,median,5,0,22660139.839441948,22505440.578390606,23274061.75675872,5,0,0,22505440.578390606,23274061.75675872,22919005.541649371,22616585.720977534,22660139.839441948
235,18,425,450,437.5,RI,raw_depth_profiles.csv,median,5,0,0.10604820591916747,0.10251687387702195,0.11025638395824625,5,0,0,0.11025638395824625,0.10777840586044757,0.10604820591916747,0.10475063890297137,0.10251687387702195
235,18,425,450,437.5,tail_mean,raw_depth_profiles.csv,median,5,0,22753359.117263161,22606204.328697909,22963993.729982354,5,0,0,22753359.117263161,22963993.729982354,22828170.541417487,22619389.567861032,22606204.328697909
235,19,450,475,462.5,RI,raw_depth_profiles.csv,median,5,0,0.10606647460502738,0.10146288514561011,0.10944685984016871,5,0,0,0.10944685984016871,0.10639187422009272,0.10606647460502738,0.10413611742528602,0.10146288514561011
235,19,450,475,462.5,tail_mean,raw_depth_profiles.csv,median,5,0,22694628.617416445,22357277.179172881,22901830.589754164,5,0,0,22357277.179172881,22901830.589754164,22748695.969775207,22410951.592386156,22694628.617416445
235,20,475,500,487.5,RI,raw_depth_profiles.csv,median,5,0,0.10560602049441586,0.10030207467922198,0.1078363078250367,5,0,0,0.10765881783556489,0.1078363078250367,0.10560602049441586,0.1051250162284892,0.10030207467922198
235,20,475,500,487.5,tail_mean,raw_depth_profiles.csv,median,5,0,22505156.045231596,22362704.03216394,22955769.534983225,5,0,0,22505156.045231596,22954443.257576946,22955769.534983225,22362704.03216394,22433826.884308677
