scan_id,diameter_um,flow_mm_s,frame_lo,frame_hi,metric,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F05_V01,128,5,400,499,RI500,100,100,0,0.26887666076281025,0.16779718140155447,0.42820423582662132,100,0,0
D128_F07_V01,128,7,0,99,source,98,98,2,163198953.61632004,88304760.208984822,314784994.12826419,98,0,0
D128_F07_V01,128,7,0,99,tail100,98,98,2,83106406.249089643,58943374.565993682,141719020.12310055,98,0,0
D128_F07_V01,128,7,0,99,tail500,98,98,2,44841444.638722017,36595115.503478251,59576623.909768492,98,0,0
D128_F07_V01,128,7,0,99,RI100,98,98,2,0.50771632406875289,0.26693527795571353,0.84184139762932697,98,0,0
D128_F07_V01,128,7,0,99,RI500,98,98,2,0.2784717836334063,0.15945557447628114,0.43282779631041229,98,0,0
D128_F07_V01,128,7,100,199,source,98,98,2,157265734.10031846,87888838.616942391,396362714.23695558,98,0,0
D128_F07_V01,128,7,100,199,tail100,98,98,2,84402920.395619765,59915571.889008157,141342241.43357125,98,0,0
D128_F07_V01,128,7,100,199,tail500,98,98,2,44488212.84256795,37161827.987495929,59394525.71696832,98,0,0
D128_F07_V01,128,7,100,199,RI100,98,98,2,0.53951315575127312,0.23430293817681447,0.97886710315631698,98,0,0
D128_F07_V01,128,7,100,199,RI500,98,98,2,0.2842132031552006,0.12100268550024909,0.51500834027596998,98,0,0
D128_F07_V01,128,7,200,299,source,100,100,0,137314702.64899123,61557905.23008845,207516005.30526143,100,0,0
D128_F07_V01,128,7,200,299,tail100,100,100,0,75071460.719550043,34515148.205229886,101639953.34376745,100,0,0
D128_F07_V01,128,7,200,299,tail500,100,100,0,40463200.511520505,26818955.412837591,50357726.704960093,100,0,0
D128_F07_V01,128,7,200,299,RI100,100,100,0,0.5518094748684117,0.31515606011645397,1.0527038054581399,100,0,0
D128_F07_V01,128,7,200,299,RI500,100,100,0,0.30467841884701752,0.18683917368030459,0.5095341508371225,100,0,0
D128_F07_V01,128,7,300,399,source,100,100,0,147575987.16700315,105078257.04239585,223944856.72693473,100,0,0
D128_F07_V01,128,7,300,399,tail100,100,100,0,79419229.388825864,53908577.753206447,138406930.25435871,100,0,0
D128_F07_V01,128,7,300,399,tail500,100,100,0,42158176.658039093,33267109.268907182,56310805.058129884,100,0,0
D128_F07_V01,128,7,300,399,RI100,100,100,0,0.53768868180467011,0.34678816659311518,1.1250743060840211,100,0,0
D128_F07_V01,128,7,300,399,RI500,100,100,0,0.29111437274790308,0.19105871362677251,0.48584370283729406,100,0,0
D128_F07_V01,128,7,400,499,source,97,97,3,129445527.43276574,81310708.753187969,212925269.73202774,97,0,0
D128_F07_V01,128,7,400,499,tail100,97,97,3,80499145.009038478,55679351.270935722,133875288.8000095,97,0,0
D128_F07_V01,128,7,400,499,tail500,97,97,3,43535329.41408015,34175130.830822274,55685914.527035065,97,0,0
D128_F07_V01,128,7,400,499,RI100,97,97,3,0.61531675078442427,0.37111749168440844,0.98278603130839293,97,0,0
D128_F07_V01,128,7,400,499,RI500,97,97,3,0.32876847583323321,0.22976607646778838,0.48912128697404073,97,0,0
D128_F10_V01,128,10,0,99,source,100,100,0,199244507.71243304,103009035.76015739,349258742.99626714,100,0,0
D128_F10_V01,128,10,0,99,tail100,100,100,0,82964601.981479496,56468897.611158796,134475456.03922543,100,0,0
D128_F10_V01,128,10,0,99,tail500,100,100,0,44279409.396416724,35658559.804912433,57727606.783887573,100,0,0
D128_F10_V01,128,10,0,99,RI100,100,100,0,0.42097953603465155,0.25449432913812614,0.63300793543416167,100,0,0
D128_F10_V01,128,10,0,99,RI500,100,100,0,0.22229224223380389,0.124297896431677,0.34840027637775417,100,0,0
D128_F10_V01,128,10,100,199,source,100,100,0,211511190.81311435,132196045.97967106,448026606.52072996,100,0,0
D128_F10_V01,128,10,100,199,tail100,100,100,0,82422517.795717865,59736038.102907345,124167033.14210476,100,0,0
D128_F10_V01,128,10,100,199,tail500,100,100,0,43275628.53863053,35448337.845957316,54158782.038853392,100,0,0
D128_F10_V01,128,10,100,199,RI100,100,100,0,0.3812210134907692,0.16491757444869562,0.7304347177733268,100,0,0
D128_F10_V01,128,10,100,199,RI500,100,100,0,0.20063647432372173,0.087048118399679256,0.32601187860827491,100,0,0
D128_F10_V01,128,10,200,299,source,98,98,2,183899089.20362368,66038157.50884039,311128025.16257846,98,0,0
D128_F10_V01,128,10,200,299,tail100,98,98,2,78912312.007086366,43909941.235713951,117830026.97918478,98,0,0
D128_F10_V01,128,10,200,299,tail500,98,98,2,42306696.11886435,28270490.4579532,51274892.564609721,98,0,0
D128_F10_V01,128,10,200,299,RI100,98,98,2,0.4449924741231065,0.27464207717406969,0.71391287144205151,98,0,0
D128_F10_V01,128,10,200,299,RI500,98,98,2,0.2323210146259338,0.15047997764922946,0.42809326493048644,98,0,0
