scan_id,diameter_um,flow_mm_s,region,side,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F07_V01,128,7,tail100,left,493,0,-1.2789769243681803e-15,-1.2789769243681803e-15,-9.9475983006414035e-16,0,493,0
D128_F07_V01,128,7,tail100,real,493,0,-1.2789769243681803e-15,-1.2789769243681803e-15,-9.9475983006414035e-16,0,493,0
D128_F07_V01,128,7,tail100,right,493,0,-1.2789769243681803e-15,-3.9790393202565614e-15,1.5631940186722204e-15,76,417,0
D128_F07_V01,128,7,tail500,left,493,0,-1.8189894035458565e-15,-2.0463630789890884e-15,-1.8189894035458565e-15,0,493,0
D128_F07_V01,128,7,tail500,real,493,0,-1.8189894035458565e-15,-2.0463630789890884e-15,-1.8189894035458565e-15,0,493,0
D128_F07_V01,128,7,tail500,right,493,0,-1.8189894035458565e-15,-4.8885340220294889e-15,7.9580786405131222e-16,76,417,0
D128_F10_V01,128,10,s1,left,484,0,0.0020773534024853273,-0.0007520414777099706,0.0032562679359000482,424,60,0
D128_F10_V01,128,10,s1,real,484,0,0.0020773534024853273,-0.0007520414777099706,0.0032562679359000482,430,54,0
D128_F10_V01,128,10,s1,right,484,0,0.0020773534024853273,-0.0007520414777099706,0.0032562679359000482,427,57,0
D128_F10_V01,128,10,s2,left,484,0,0.001515653435680449,0.00094870429702455358,0.0019408652896724192,484,0,0
D128_F10_V01,128,10,s2,real,484,0,0.0013739161510165237,0.00094870429702455358,0.0019408652896724192,484,0,0
D128_F10_V01,128,10,s2,right,484,0,0.0013739161510165237,0.00094870429702455358,0.0017991280050084937,484,0,0
D128_F10_V01,128,10,s3,left,484,0,0.0011603017383117452,0.00066406367053548109,0.00165653980608767,484,0,0
D128_F10_V01,128,10,s3,real,484,0,0.0011603017383117452,0.00066406367053548109,0.00165653980608767,484,0,0
D128_F10_V01,128,10,s3,right,484,0,0.0011603017383117452,0.00066406367053548109,0.00165653980608767,484,0,0
D128_F10_V01,128,10,s36,left,484,0,-0.00057592477277613931,-0.00090417879354251409,-0.0002111980830355676,0,484,0
D128_F10_V01,128,10,s36,real,484,0,-0.00057592477277613931,-0.00090417879354251409,-0.000211198083035368,0,484,0
D128_F10_V01,128,10,s36,right,484,0,-0.00057592477277613931,-0.00090417879354251409,-0.0002111980830355676,0,484,0
D128_F10_V01,128,10,s4,left,484,0,0.00091218270442395297,0.00041594463664768858,0.0011603017383120852,484,0,0
D128_F10_V01,128,10,s4,real,484,0,0.00091218270442395297,0.00041594463664768858,0.0011603017383120852,484,0,0
D128_F10_V01,128,10,s4,right,484,0,0.00091218270442395297,0.00041594463664768858,0.0011603017383120852,484,0,0
D128_F10_V01,128,10,s5,left,484,0,-4.3456695623505953e-05,-0.00046866854961566981,0.00052349244303219542,214,270,0
D128_F10_V01,128,10,s5,real,484,0,-4.3456695623505953e-05,-0.00046866854961566981,0.00052349244303219542,216,268,0
D128_F10_V01,128,10,s5,right,484,0,-4.3456695623505953e-05,-0.00046866854961566981,0.00052349244303219542,213,271,0
D128_F10_V01,128,10,s6,left,484,0,-0.0073539628648321169,-0.0087686603049298463,-0.0066466141447834139,0,484,0
D128_F10_V01,128,10,s6,real,484,0,-0.0073539628648321169,-0.0087686603049298463,-0.0066466141447834139,0,484,0
D128_F10_V01,128,10,s6,right,484,0,-0.0075897457715151263,-0.0087686603049298463,-0.0066466141447834139,0,484,0
D128_F10_V01,128,10,source,left,484,0,4.4254061320915217e-05,-0.00011072748440613208,0.00030255663753261361,337,147,0
D128_F10_V01,128,10,source,real,484,0,7.0084318942042646e-05,-0.00011072748440627345,0.0003283868951538824,333,151,0
D128_F10_V01,128,10,source,right,484,0,7.0084318942042646e-05,-0.00011072748440613208,0.00030255663753261361,350,134,0
D128_F10_V01,128,10,t01,left,484,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.973799150320701e-15,0,484,0
D128_F10_V01,128,10,t01,real,484,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.973799150320701e-15,0,484,0
D128_F10_V01,128,10,t01,right,484,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,484,0
D128_F10_V01,128,10,t02,left,484,0,2.5579538487363606e-15,2.5579538487363606e-15,2.8421709430404009e-15,484,0,0
D128_F10_V01,128,10,t02,real,484,0,2.5579538487363606e-15,2.5579538487363606e-15,2.8421709430404009e-15,484,0,0
D128_F10_V01,128,10,t02,right,484,0,2.5579538487363606e-15,-4.263256414560601e-16,5.6843418860808018e-15,391,74,19
D128_F10_V01,128,10,t03,left,484,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,484,0
D128_F10_V01,128,10,t03,real,484,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,484,0
D128_F10_V01,128,10,t03,right,484,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,484,0
D128_F10_V01,128,10,t04,left,484,0,2.5579538487363606e-15,2.4158453015843408e-15,2.8421709430404009e-15,484,0,0
D128_F10_V01,128,10,t04,real,484,0,2.5579538487363606e-15,2.4158453015843408e-15,2.8421709430404009e-15,484,0,0
D128_F10_V01,128,10,t04,right,484,0,2.5579538487363606e-15,-2.8421709430404008e-16,5.6843418860808018e-15,391,66,27
D128_F10_V01,128,10,t05,left,484,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,484,0
D128_F10_V01,128,10,t05,real,484,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,484,0
D128_F10_V01,128,10,t05,right,484,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,484,0
D128_F10_V01,128,10,t06,left,484,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,484,0
D128_F10_V01,128,10,t06,real,484,0,-4.973799150320701e-15,-5.1159076974727211e-15,-4.8316906031686816e-15,0,484,0
D128_F10_V01,128,10,t06,right,484,0,-4.973799150320701e-15,-8.1001871876651414e-15,-1.9895196601282807e-15,0,484,0
D128_F10_V01,128,10,t07,left,484,0,2.5579538487363606e-15,-4.973799150320701e-15,2.8421709430404009e-15,481,3,0
D128_F10_V01,128,10,t07,real,484,0,2.5579538487363606e-15,-5.1159076974727211e-15,2.8421709430404009e-15,481,3,0
D128_F10_V01,128,10,t07,right,484,0,2.5579538487363606e-15,-4.973799150320701e-15,5.6843418860808018e-15,388,57,39
D128_F10_V01,128,10,t08,left,484,0,-4.973799150320701e-15,-5.1159076974727211e-15,1.0231815394945442e-14,45,439,0
D128_F10_V01,128,10,t08,real,484,0,-4.973799150320701e-15,-5.1159076974727211e-15,1.0231815394945442e-14,45,439,0
