scan_id,diameter_um,flow_mm_s,region,side,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,t07,left,neff,486,0,44.010976818432759,42.732315693506543,44.624731181646951,486,0,0
D128_F01_V01,128,1,t07,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t07,left,sum_w2,486,0,32.135266178519487,31.693287944958143,33.096836243330522,486,0,0
D128_F01_V01,128,1,t07,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t07,real,neff,486,0,44.008848138469318,42.732832298213921,44.62473105465434,486,0,0
D128_F01_V01,128,1,t07,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t07,real,sum_w2,486,0,32.136820546754024,31.693288035150555,33.096436129870128,486,0,0
D128_F01_V01,128,1,t07,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t07,right,neff,486,0,44.073339036436735,42.732250835126372,44.624701917549203,486,0,0
D128_F01_V01,128,1,t07,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t07,right,sum_w2,486,0,32.089795913058595,31.693308728860966,33.096886477220494,486,0,0
D128_F01_V01,128,1,t07,right,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t08,left,neff,486,0,41.416845214861652,40.213551997539739,41.994423157883851,486,0,0
D128_F01_V01,128,1,t08,left,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t08,left,sum_w2,486,0,34.148048879625179,33.678387472760214,35.169846595317317,486,0,0
D128_F01_V01,128,1,t08,left,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t08,real,neff,486,0,41.41484200532323,40.214038152102745,41.994423038376574,486,0,0
D128_F01_V01,128,1,t08,real,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t08,real,sum_w2,486,0,34.149700605245094,33.678387568601806,35.169421420870513,486,0,0
D128_F01_V01,128,1,t08,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t08,right,neff,486,0,41.475531627139695,40.213490962096181,41.994395618694895,486,0,0
D128_F01_V01,128,1,t08,right,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t08,right,sum_w2,486,0,34.099730597806627,33.678409558456522,35.169899975591285,486,0,0
D128_F01_V01,128,1,t08,right,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t09,left,neff,486,0,41.910914815295754,40.693267279193002,42.495382797915319,486,0,0
D128_F01_V01,128,1,t09,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t09,left,sum_w2,486,0,33.745492339404265,33.281367567200014,34.755244524919711,486,0,0
D128_F01_V01,128,1,t09,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t09,real,neff,486,0,41.908887709081206,40.693759233188935,42.495382676982423,486,0,0
D128_F01_V01,128,1,t09,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t09,real,sum_w2,486,0,33.747124593547099,33.281367661911766,34.754824362670661,486,0,0
D128_F01_V01,128,1,t09,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t09,right,neff,486,0,41.97030130919795,40.693205515646355,42.495354930206027,486,0,0
D128_F01_V01,128,1,t09,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t09,right,sum_w2,486,0,33.697743660857228,33.281389392537626,34.755297275917343,486,0,0
D128_F01_V01,128,1,t09,right,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t10,left,neff,486,0,44.47828640076807,43.18604842207867,45.098557622181374,486,0,0
D128_F01_V01,128,1,t10,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t10,left,sum_w2,486,0,31.797638112527263,31.360303508036193,32.749105474609948,486,0,0
D128_F01_V01,128,1,t10,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t10,real,neff,486,0,44.476135118430946,43.18657051210694,45.098557493840389,486,0,0
D128_F01_V01,128,1,t10,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t10,real,sum_w2,486,0,31.799176149845536,31.360303597281003,32.748709564927836,486,0,0
D128_F01_V01,128,1,t10,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t10,right,neff,486,0,44.541310782262975,43.185982875030717,45.098528047356751,486,0,0
D128_F01_V01,128,1,t10,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t10,right,sum_w2,486,0,31.752645578842493,31.360324073573661,32.749155180719285,486,0,0
D128_F01_V01,128,1,t10,right,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t11,left,neff,486,0,43.310908258223876,42.052586387670793,43.914899826689165,486,0,0
D128_F01_V01,128,1,t11,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t11,left,sum_w2,486,0,32.654693972353201,32.205571694068333,33.631806656746335,486,0,0
D128_F01_V01,128,1,t11,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t11,real,neff,486,0,43.308813438493161,42.053094774911997,43.914899701716607,486,0,0
D128_F01_V01,128,1,t11,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t11,real,sum_w2,486,0,32.656273465074278,32.205571785718597,33.631400075934756,486,0,0
D128_F01_V01,128,1,t11,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t11,right,neff,486,0,43.372278500331717,42.0525225609722,43.91487102808609,486,0,0
D128_F01_V01,128,1,t11,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t11,right,sum_w2,486,0,32.60848873492904,32.20559281391786,33.63185770260651,486,0,0
D128_F01_V01,128,1,t11,right,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t12,left,neff,486,0,41.60141226127368,40.39275677471236,42.181564081047298,486,0,0
D128_F01_V01,128,1,t12,left,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t12,left,sum_w2,486,0,33.996549106423657,33.528971379269727,35.013813558070467,486,0,0
D128_F01_V01,128,1,t12,left,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t12,real,neff,486,0,41.599400124776537,40.393245095739559,42.181563961007484,486,0,0
D128_F01_V01,128,1,t12,real,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t12,real,sum_w2,486,0,33.998193504068581,33.528971474686095,35.01339026993498,486,0,0
D128_F01_V01,128,1,t12,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t12,right,neff,486,0,41.660360199453145,40.392695467274848,42.181536419134694,486,0,0
D128_F01_V01,128,1,t12,right,nonzero_pixels,486,0,44,44,48,486,0,0
D128_F01_V01,128,1,t12,right,sum_w2,486,0,33.948445191427723,33.528993366981574,35.013866701520342,486,0,0
D128_F01_V01,128,1,t12,right,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,t13,left,neff,486,0,42.957861149099273,41.70979643815361,43.556929304831868,486,0,0
D128_F01_V01,128,1,t13,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t13,left,sum_w2,486,0,32.923064999167543,32.470251631108859,33.908208037011413,486,0,0
D128_F01_V01,128,1,t13,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t13,real,neff,486,0,42.955783405206176,41.710300681296879,43.556929180878015,486,0,0
D128_F01_V01,128,1,t13,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t13,real,sum_w2,486,0,32.924657472873314,32.470251723512348,33.907798114735051,486,0,0
D128_F01_V01,128,1,t13,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t13,right,neff,486,0,43.018731134171759,41.709733131735739,43.55690074097943,486,0,0
D128_F01_V01,128,1,t13,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t13,right,sum_w2,486,0,32.876480026229032,32.470272924530853,33.908259502389527,486,0,0
D128_F01_V01,128,1,t13,right,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t14,left,neff,486,0,44.538916562164971,43.244917081323599,45.160033300510413,486,0,0
D128_F01_V01,128,1,t14,left,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t14,left,sum_w2,486,0,31.754352463041108,31.317613195610331,32.704524606825288,486,0,0
D128_F01_V01,128,1,t14,left,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t14,real,neff,486,0,44.536762347327382,43.24543988303401,45.160033171994485,486,0,0
D128_F01_V01,128,1,t14,real,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t14,real,sum_w2,486,0,31.755888406652168,31.317613284733653,32.704129236089109,486,0,0
D128_F01_V01,128,1,t14,real,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t14,right,neff,486,0,44.602026854757881,43.244851444925807,45.160003685371144,486,0,0
D128_F01_V01,128,1,t14,right,nonzero_pixels,486,0,55,55,60,486,0,0
D128_F01_V01,128,1,t14,right,sum_w2,486,0,31.709421177019948,31.317633733152242,32.704574245270443,486,0,0
D128_F01_V01,128,1,t14,right,z_span_pixels,486,0,5,5,5,486,0,0
D128_F01_V01,128,1,t15,left,neff,486,0,42.356428817739442,41.125837659915696,42.947109708652327,486,0,0
