scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,baseline_common_rho0,rho0_change,baseline_common_specificity,specificity_change
D128_F07_V01,128,7,zp,five_position_common,detrended_51,493,C100,0.28288211444462746,493,ok,0.28330734246348183,ok,42,0,0.28288211444462746,1,ok,101,False,0.33710371179678894,-0.054221597352161477,0.32424658146510449,-0.040939239001622663
D128_F07_V01,128,7,zm,five_position_common,detrended_51,493,W100,0.35827181595432162,493,ok,0.35808458284496453,ok,42,0,0.35827181595432162,1,ok,101,False,0.37031581189108004,-0.012043995936758423,0.36566146340965749,-0.0075768805646929671
D128_F07_V01,128,7,zm,five_position_common,detrended_51,493,W500,0.42632540010563452,493,ok,0.43826985130758089,ok,42,0,0.42632540010563452,1,ok,101,False,0.43367138160144919,-0.0073459814958146685,0.43907919496903425,-0.00080934366145335446
D128_F07_V01,128,7,zm,five_position_common,detrended_51,493,C100,0.33810820645370321,493,ok,0.33511259359678391,ok,42,0,0.33810820645370321,1,ok,101,False,0.33710371179678894,0.0010044946569142676,0.32424658146510449,0.010866012131679426
D128_F10_V01,128,10,baseline,five_position_common,detrended_51,484,W100,0.32092406318079902,484,ok,0.3365668316651132,ok,42,0,0.32092406318079902,1,ok,101,False,0.32092406318079902,0,0.3365668316651132,0
D128_F10_V01,128,10,baseline,five_position_common,detrended_51,484,W500,0.34910448362642715,484,ok,0.37963812001815261,ok,42,0,0.34910448362642715,1,ok,101,False,0.34910448362642715,0,0.37963812001815261,0
D128_F10_V01,128,10,baseline,five_position_common,detrended_51,484,C100,0.34115335738867858,484,ok,0.36510810054084386,ok,42,0,0.34115335738867858,1,ok,101,False,0.34115335738867858,0,0.36510810054084386,0
D128_F10_V01,128,10,xp,five_position_common,detrended_51,484,W100,0.34470067252192005,484,ok,0.36166505990783748,ok,42,0,0.34470067252192005,1,ok,101,False,0.32092406318079902,0.023776609341121024,0.3365668316651132,0.025098228242724285
D128_F10_V01,128,10,xp,five_position_common,detrended_51,484,W500,0.37233601065196004,484,ok,0.40038200812338737,ok,42,0,0.37233601065196004,1,ok,101,False,0.34910448362642715,0.023231527025532883,0.37963812001815261,0.020743888105234753
D128_F10_V01,128,10,xp,five_position_common,detrended_51,484,C100,0.36165771104659833,484,ok,0.38043547344693568,ok,42,0,0.36165771104659833,1,ok,101,False,0.34115335738867858,0.020504353657919749,0.36510810054084386,0.015327372906091818
D128_F10_V01,128,10,xm,five_position_common,detrended_51,484,W100,0.32845744135470756,484,ok,0.34864504415325814,ok,42,0,0.32845744135470756,1,ok,101,False,0.32092406318079902,0.0075333781739085337,0.3365668316651132,0.012078212488144946
D128_F10_V01,128,10,xm,five_position_common,detrended_51,484,W500,0.35675276288808222,484,ok,0.39408914314975568,ok,42,0,0.35675276288808222,1,ok,101,False,0.34910448362642715,0.0076482792616550666,0.37963812001815261,0.014451023131603069
D128_F10_V01,128,10,xm,five_position_common,detrended_51,484,C100,0.34028383839044535,484,ok,0.36625470354899903,ok,42,0,0.34028383839044535,1,ok,101,False,0.34115335738867858,-0.00086951899823323187,0.36510810054084386,0.001146603008155167
