flow_mm_s,metric,diameter_from_um,diameter_to_um,value_from,value_to,absolute_difference,percent_difference
10,tail_mean_raw_100um,128,235,71810269.427337751,51238962.861048497,-20571306.566289254,-28.646747506085635
10,tail_mean_raw_100um,235,285,51238962.861048497,45084849.326288551,-6154113.5347599462,-12.010613000596583
10,tail_mean_raw_100um,285,500,45084849.326288551,32812404.364572205,-12272444.961716346,-27.220774040738338
10,tail_mean_raw_100um,128,500,71810269.427337751,32812404.364572205,-38997865.062765546,-54.306807889400964
10,tail_mean_raw_200um,128,235,57521284.150657237,42309358.622942351,-15211925.527714886,-26.445733526867159
10,tail_mean_raw_200um,235,285,42309358.622942351,37943264.382452726,-4366094.2404896244,-10.319452675706835
10,tail_mean_raw_200um,285,500,37943264.382452726,29924910.227109216,-8018354.1553435102,-21.132483685435574
10,tail_mean_raw_200um,128,500,57521284.150657237,29924910.227109216,-27596373.92354802,-47.975935049135558
10,tail_mean_raw_300um,128,235,49328429.264857009,37139710.331185162,-12188718.933671847,-24.709318977556499
10,tail_mean_raw_300um,235,285,37139710.331185162,33610216.089180544,-3529494.242004618,-9.5032896340093469
10,tail_mean_raw_300um,285,500,33610216.089180544,28158940.382303983,-5451275.706876561,-16.219103419068407
10,tail_mean_raw_300um,128,500,49328429.264857009,28158940.382303983,-21169488.882553026,-42.915392194810423
10,tail_mean_raw_500um,128,235,39774709.246335611,31943516.680465519,-7831192.5658700913,-19.688874448759343
10,tail_mean_raw_500um,235,285,31943516.680465519,29135322.83867304,-2808193.8417924792,-8.791122999646996
10,tail_mean_raw_500um,285,500,29135322.83867304,26597118.981886633,-2538203.8567864075,-8.7117752936559167
10,tail_mean_raw_500um,128,500,39774709.246335611,26597118.981886633,-13177590.264448978,-33.130575971873412
10,ri_tail_100um,128,235,0.46592826556091776,0.2774168692334088,-0.18851139632750896,-40.459317509008706
10,ri_tail_100um,235,285,0.2774168692334088,0.24559664661580899,-0.031820222617599814,-11.470183015737014
10,ri_tail_100um,285,500,0.24559664661580899,0.31639165389046398,0.070795007274654986,28.82572227681953
