flow_mm_s,target_r_um,diameter_from_um,diameter_to_um,ri_r_median_from,ri_r_median_to,absolute_difference,percent_difference
1,60,235,285,0.25865631195482691,0.22622250418781881,-0.032433807767008105,-12.539345172706442
1,60,285,500,0.22622250418781881,0.27386838472850222,0.047645880540683416,21.06151229814251
1,60,128,500,0.4354414578398248,0.27386838472850222,-0.16157307311132257,-37.105578764334496
1,70,128,235,0.41840222082577638,0.25237780901387002,-0.16602441181190636,-39.680576141358316
1,70,235,285,0.25237780901387002,0.22260647529962679,-0.029771333714243231,-11.796335751772485
1,70,285,500,0.22260647529962679,0.26394791694118108,0.041341441641554288,18.571535974373159
1,70,128,500,0.41840222082577638,0.26394791694118108,-0.1544543038845953,-36.915268656977425
1,80,128,235,0.37793644466804399,0.2378118469683394,-0.14012459769970459,-37.0762332335484
1,80,235,285,0.2378118469683394,0.20643663774861051,-0.031375209219728889,-13.193291091131369
1,80,285,500,0.20643663774861051,0.2690959558137509,0.062659318065140385,30.352808856267149
1,80,128,500,0.37793644466804399,0.2690959558137509,-0.10884048885429309,-28.798622199531945
1,90,128,235,0.36265754014477575,0.22837173249553919,-0.13428580764923656,-37.028268485918865
1,90,235,285,0.22837173249553919,0.20234738364936911,-0.026024348846170081,-11.395608625370663
1,90,285,500,0.20234738364936911,0.25875624213442422,0.056408858485055113,27.877236397976517
1,90,128,500,0.36265754014477575,0.25875624213442422,-0.10390129801035153,-28.649975943936891
1,100,128,235,0.32898030669938916,0.21595803804160019,-0.11302226865778897,-34.355329591526221
1,100,235,285,0.21595803804160019,0.19550360533814859,-0.020454432703451597,-9.4714847796086392
1,100,285,500,0.19550360533814859,0.25749660589208812,0.061993000553939526,31.709389935144507
1,100,128,500,0.32898030669938916,0.25749660589208812,-0.071483700807301043,-21.728869282324666
1,110,128,235,0.32409237409596087,0.2073719264706457,-0.11672044762531517,-36.014561573965111
1,110,235,285,0.2073719264706457,0.18943843667126259,-0.017933489799383112,-8.6479834105807321
1,110,285,500,0.18943843667126259,0.25063900803014622,0.061200571358883626,32.30631145097896
1,110,128,500,0.32409237409596087,0.25063900803014622,-0.073453366065814651,-22.66433027642476
1,120,128,235,0.30952565397585846,0.19905198982777619,-0.11047366414808227,-35.691278809703668
1,120,235,285,0.19905198982777619,0.18396505327720311,-0.015086936550573082,-7.5793949930501094
1,120,285,500,0.18396505327720311,0.2450423718071939,0.061077318529990793,33.200500552655498
1,120,128,500,0.30952565397585846,0.2450423718071939,-0.064483282168664557,-20.8329362495084
1,130,128,235,0.30524187619940302,0.19382897468070381,-0.1114129015186992,-36.499874429390992
1,130,235,285,0.19382897468070381,0.1761238620789676,-0.017705112601736211,-9.134399349169545
1,130,285,500,0.1761238620789676,0.24200328790662229,0.065879425827654686,37.405167618977558
1,130,128,500,0.30524187619940302,0.24200328790662229,-0.063238588292780729,-20.717533609795186
1,140,128,235,0.28933446916403055,0.19228053117392929,-0.097053937990101258,-33.543856102080632
1,140,235,285,0.19228053117392929,0.1691144803756735,-0.023166050798255788,-12.048048056046145
1,140,285,500,0.1691144803756735,0.2393815092976454,0.070267028921971897,41.549977722711645
1,140,128,500,0.28933446916403055,0.2393815092976454,-0.049952959866385149,-17.264780104048246
1,150,128,235,0.27359721038830886,0.1785445443814766,-0.095052666006832265,-34.741825719614127
1,150,235,285,0.1785445443814766,0.168225370867673,-0.010319173513803598,-5.779607296068229
1,150,285,500,0.168225370867673,0.23537894374233601,0.067153572874663003,39.918813986438686
1,150,128,500,0.27359721038830886,0.23537894374233601,-0.038218266645972859,-13.968807135032826
1,160,128,235,0.26286041853807152,0.1788067360104959,-0.084053682527575613,-31.976545953571044
1,160,235,285,0.1788067360104959,0.1623276757084621,-0.016479060302033804,-9.2161294757186827
1,160,285,500,0.1623276757084621,0.23391541133822491,0.071587735629762811,44.100758122313799
1,160,128,500,0.26286041853807152,0.23391541133822491,-0.028945007199846606,-11.011550297617115
1,170,128,235,0.26078526564790444,0.170389907362298,-0.090395358285606436,-34.66275522162838
1,170,235,285,0.170389907362298,0.1567876638945003,-0.013602243467797703,-7.9830100728181144
1,170,285,500,0.1567876638945003,0.2320792414664728,0.075291577571972496,48.02136577698797
1,170,128,500,0.26078526564790444,0.2320792414664728,-0.028706024181431644,-11.007533002339434
1,180,128,235,0.25342577057895532,0.16788701895134911,-0.085538751627606213,-33.752980777050233
