scan_id,diameter_um,flow_mm_s,segment_index,segment_frames_0based,valid_frame_count,nominal_frame_count,valid_fraction,source_mean_raw_median,tail_mean_raw_500um_median,ri_tail_median,grid_scope
D500_F05_V01,500,5,4,400-499,100,100,1,90969606.396519214,26942515.769147955,0.29580632123489869,common_grid
D500_F07_V01,500,7,0,0-99,80,100,0.80000000000000004,126011039.44588524,28589204.425841279,0.2286089710011758,common_grid
D500_F07_V01,500,7,1,100-199,100,100,1,113464244.73389658,27652974.895400386,0.2442864224532782,common_grid
D500_F07_V01,500,7,2,200-299,100,100,1,105454860.78467594,27439412.401624881,0.25923732812558076,common_grid
D500_F07_V01,500,7,3,300-399,100,100,1,96925721.708626121,26949726.267914709,0.27818627726391326,common_grid
D500_F07_V01,500,7,4,400-499,97,100,0.96999999999999997,90618027.049596369,27075034.990712184,0.29820890081726431,common_grid
D500_F09_V01,500,9,0,0-99,82,100,0.81999999999999995,126219681.66973412,28761772.404012464,0.22884984133851105,d500_extension
D500_F09_V01,500,9,1,100-199,100,100,1,111715887.6072858,27274907.02858229,0.24394373645866801,d500_extension
D500_F09_V01,500,9,2,200-299,100,100,1,103187497.77076703,26908634.042488478,0.25926306961082235,d500_extension
D500_F09_V01,500,9,3,300-399,100,100,1,96046103.242455915,26464125.963148326,0.27419608143788277,d500_extension
D500_F09_V01,500,9,4,400-499,100,100,1,89957444.009965748,26883192.583250094,0.29635842461068962,d500_extension
D500_F10_V01,500,10,0,0-99,100,100,1,125743051.97818576,28077191.182826892,0.22221414252497454,common_grid
D500_F10_V01,500,10,1,100-199,100,100,1,111525274.79228848,26894619.767558258,0.24037333751415496,common_grid
D500_F10_V01,500,10,2,200-299,100,100,1,102477213.19936755,26385768.46262525,0.25790400573064087,common_grid
D500_F10_V01,500,10,3,300-399,100,100,1,96015366.91286844,25989597.420893516,0.27152128221670524,common_grid
D500_F10_V01,500,10,4,400-499,100,100,1,89472138.273442,26304986.609389458,0.29306944666507989,common_grid
D500_F12_V01,500,12,0,0-99,100,100,1,125743051.97818576,28092959.96201754,0.2216114545736988,d500_extension
D500_F12_V01,500,12,1,100-199,100,100,1,112016659.58780518,27123462.81894904,0.23990486265681576,d500_extension
D500_F12_V01,500,12,2,200-299,100,100,1,104052710.97971402,26667091.414640084,0.25757182988580873,d500_extension
D500_F12_V01,500,12,3,300-399,100,100,1,95760826.779707894,26343694.710749876,0.27447709044541113,d500_extension
D500_F12_V01,500,12,4,400-499,100,100,1,89881456.976801425,26639406.352602087,0.29665679552532837,d500_extension
