scan_id,flow_mm_s,target_r_um,n_frames,selected_r_um_median,max_abs_sampling_error_um,ri_r_observed_q1,ri_r_observed_median,ri_r_observed_q3,ri_r_corrected_q1,ri_r_corrected_median,ri_r_corrected_q3,V_observed_median,B_frozen_median
flow03,3,40,468,42.850000000000016,2.8500000000000156,0.32497665650443036,0.42655958735643129,0.56556850003202608,0.18760605419592885,0.31265411756876005,0.46539995189831251,64935299.973720938,24388323.889018923
flow03,3,50,468,49.550000000000011,0.44999999999998863,0.32326690991429885,0.41917028792259281,0.54731931069739992,0.17808149001251811,0.29534614750794258,0.46138436574141262,62301260.373117365,24856138.819811195
flow03,3,60,468,62.95000000000001,2.9500000000000099,0.31447205943103523,0.40417169935939246,0.5150431523418344,0.16845873105148404,0.28151071238058756,0.40272167827329636,61827291.862100855,25592971.084702618
flow03,3,70,468,69.65000000000002,0.3499999999999801,0.30055252979084901,0.39906025679106627,0.50741421268155351,0.15234456726550305,0.26137820881292151,0.38739952285908436,61176744.655128732,25939435.284942366
flow03,3,80,468,83.050000000000011,3.0500000000000114,0.28178380315143009,0.35808534514910761,0.45401675199478853,0.12798480065648662,0.23119780707921847,0.33337656563175999,55588594.895662226,24901664.798336916
flow03,3,90,468,89.750000000000014,0.24999999999998579,0.27020651311230354,0.3420640834864751,0.43643586575482374,0.12231333659534624,0.21297214295712763,0.31657574561214019,52432899.120586596,25743344.903878752
flow03,3,100,468,103.15000000000002,3.1500000000000199,0.2478297630571337,0.31851437766238649,0.40117331658781963,0.088572947934206059,0.18451034310163703,0.28703056751921491,49554721.573398948,24420702.994999006
flow03,3,110,468,109.85000000000001,0.14999999999999147,0.2360068691615583,0.3077157437200419,0.3976013161645372,0.084317146737156456,0.16647128579253839,0.2603704919529814,47043465.285286739,25353307.810241573
flow03,3,120,468,123.25000000000001,3.2500000000000142,0.22911052101453416,0.30035927983191585,0.3881133887338496,0.083466132432968687,0.17199952159390197,0.26324020803697096,45444232.404876046,24420615.748403482
flow03,3,130,468,129.95000000000002,0.049999999999982947,0.22601281585960786,0.28465728330273343,0.37267482466383361,0.072595692495918226,0.14970225798439779,0.24591130744476003,45005124.350279368,24866099.389914554
