scan_id,frame_index_0based,flow_speed_mm_s,localization_source,baseline_valid,variant_valid,variant_invalid_reason,q_vessel_base,q_vessel_plus2,q_vessel_delta,q_vessel_delta_pct,q_tail_base,q_tail_plus2,q_tail_delta,q_tail_delta_pct,ratio_base,ratio_plus2,ratio_delta,ratio_delta_pct
flow05,39,5,direct_candidate_supported,True,True,,1583806118896.696,1657396176881.5054,73590057984.80933,4.646405712592732,685383345289.4094,874428613596.5142,189045268307.10474,27.582413492594952,0.4327444736524052,0.5275917887308068,0.0948473150784016,21.91762595553933
flow10,87,10,short_gap_assisted,True,True,,1503835753134.497,1582133741366.7107,78297988232.21362,5.206551850427442,1083570353812.5529,1367106595962.3054,283536242149.75256,26.166851201874206,0.7205376993824156,0.8640904117128201,0.14355271233040445,19.922998123962948
flow07,275,7,direct_candidate_supported,True,True,,612735356319.183,635698531793.6783,22963175474.49536,3.747649819399927,416407545393.8423,307809628735.081,-108597916658.76129,-26.079718741899438,0.6795879185025018,0.48420692095444917,-0.1953809975480526,-28.74992215555894
flow01,213,1,direct_candidate_supported,True,True,,1367604834212.4922,1378740189261.7266,11135355049.234375,0.8142231418512385,680610418530.9742,857542030982.5934,176931612451.61914,25.99601881403863,0.49766599349796103,0.6219750738112458,0.1243090803132848,24.97841563164675
flow03,281,3,short_gap_assisted,True,True,,495289857498.3633,480883781454.2918,-14406076044.071472,-2.908615192896228,236353128347.2059,175350675383.94,-61002452963.2659,-25.80987752937735,0.47720163207256255,0.36464252309288403,-0.11255910897967852,-23.58732691060096
flow07,40,7,short_gap_assisted,True,True,,1727796060415.3845,1883381887951.5774,155585827536.19287,9.004872224259385,953877767658.2994,1198966704654.2742,245088936995.97473,25.693956322899762,0.5520777535683088,0.6366030767972959,0.08452532322898709,15.310401964698752
flow05,381,5,short_gap_assisted,True,True,,2538893314400.419,2577765501091.441,38872186691.02197,1.5310681417979144,1069959969016.4625,1344643759453.6929,274683790437.23035,25.6723427409838,0.42142769959955667,0.5216315288897935,0.1002038292902368,23.777229020648413
flow05,415,5,direct_candidate_supported,True,True,,1875934766181.1113,1887790962376.5945,11856196195.483154,0.6320153775719567,500689480833.1653,628821624809.2518,128132143976.08655,25.591139594718477,0.2669013282654981,0.3330991817110991,0.06619785344560097,24.802369428357114
flow07,42,7,direct_candidate_supported,True,True,,1470853742190.0715,1506852881372.6804,35999139182.60889,2.4474995813660505,952186413480.7385,1190881151088.161,238694737607.42236,25.068067998877282,0.6473698819727325,0.7903101661811321,0.14294028420839966,22.080156675317863
flow03,235,3,short_gap_assisted,True,True,,1906890211816.6677,1942674223283.784,35784011467.11621,1.8765638024343982,1221815078459.9011,1527104273609.9922,305289195150.09106,24.98653032952485,0.6407369815464599,0.7860835621881386,0.1453465806416787,22.684281511405104
