scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D500_F02_V01,500,2,d500_extension,absolute,6,detrended_51,mean,0.041816864917843762,-0.073414709275841566,0.17640583737624038,120,94,26,0.75,5,8,187.5,0.375,0.17640583737624038,0.14844133659521422,0,True,True,94,10,10,0.75,0.25,0.91666666666666663,0.16666666666666666,1,125,37.5,437.5,25,450,0.25,0.050000000000000003,0.90000000000000002,0.12679709198608186,0.10472388878613077,8,8,10
D500_F02_V01,500,2,d500_extension,normalized,6,detrended_51,mean,0.061857498626626935,-0.081690878350936455,0.18430973726926692,30,26,4,0.75,5,2,150,0.29999999999999999,0.18430973726926692,0.15264446277883009,-39,False,False,26,3,3,0.75,0.75,0.91666666666666663,0.66666666666666663,1,150,50,450,0,500,0.29999999999999999,0,1,0.15228957485952896,0.14796070724306859,2,2,3
D500_F03_V01,500,3,common_grid,absolute,6,detrended_51,mean,0.025140814367918637,-0.073644543329888484,0.20987300687381044,120,88,32,0.25,2,1,12.5,0.025000000000000001,0.20987300687381044,0.209714686013733,0,True,True,88,9,9,0.58333333333333337,0.25,0.91666666666666663,0.16666666666666666,1,137.5,12.5,337.5,0,350,0.27500000000000002,0,0.69999999999999996,0.11689055341354292,0.1188105277604055,6,6,9
D500_F03_V01,500,3,common_grid,normalized,6,detrended_51,mean,0.05660285608950897,-0.058728171761441447,0.19100492308957157,30,22,8,0.25,2,1,50,0.10000000000000001,0.19100492308957157,0.19330621364020689,0,True,True,22,3,3,0.25,0.25,0.91666666666666663,0.16666666666666666,1,150,50,250,0,300,0.29999999999999999,0,0.59999999999999998,0.15769560168777688,0.15165033871093542,2,2,3
D500_F05_V01,500,5,common_grid,absolute,6,detrended_51,mean,0.0013085173921391887,-0.11877362997808698,0.13694931255054132,120,61,59,0.25,2,3,62.5,0.125,0.13694931255054132,0.13289985504206189,-38,False,False,61,7,7,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,62.5,12.5,212.5,0,225,0.125,0,0.45000000000000001,0.11552683215072664,0.11854275946730868,0,0,7
D500_F05_V01,500,5,common_grid,normalized,6,detrended_51,mean,-0.0019077181464463707,-0.16066361562976267,0.16042475266121617,30,15,15,0.25,2,1,50,0.10000000000000001,0.16042475266121617,0.17203950671158702,0,True,True,15,2,2,0.5,0.25,0.75,0.16666666666666666,0.83333333333333337,100,50,150,0,200,0.20000000000000001,0,0.40000000000000002,0.12784604938574395,0.14097757793187912,1,1,2
D500_F07_V01,500,7,common_grid,absolute,6,detrended_51,mean,0.0054940925313524975,-0.13421094152847268,0.13233173103243945,120,64,56,0.25,2,2,37.5,0.074999999999999997,0.13233173103243945,0.12498639464365131,0,True,True,64,7,7,0.75,0.25,0.91666666666666663,0.16666666666666666,1,112.5,37.5,362.5,25,375,0.22500000000000001,0.050000000000000003,0.75,0.12957288537737885,0.12498639464365131,6,6,7
D500_F07_V01,500,7,common_grid,normalized,6,detrended_51,mean,0.019877069514954181,-0.1348834184115788,0.10631081309891982,30,19,11,0.75,5,4,350,0.69999999999999996,0.10631081309891982,0.11262177648074963,0,True,True,19,2,2,0.83333333333333326,0.75,0.91666666666666663,0.66666666666666663,1,250,150,350,100,400,0.5,0.20000000000000001,0.80000000000000004,0.10563116501479305,0.10975242379956192,1,2,2
D500_F09_V01,500,9,d500_extension,absolute,6,detrended_51,mean,0.0052577885079668242,-0.13566606484846022,0.13448293026612276,120,67,53,0.25,2,2,37.5,0.074999999999999997,0.13448293026612276,0.12655780007658074,0,True,True,67,7,7,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,137.5,37.5,412.5,25,425,0.27500000000000002,0.050000000000000003,0.84999999999999998,0.11057925669921327,0.11041030651576655,3,3,7
D500_F09_V01,500,9,d500_extension,normalized,6,detrended_51,mean,0.01893741931548527,-0.11853874808244544,0.15016999213919882,30,17,13,0.25,2,1,50,0.10000000000000001,0.15016999213919882,0.15099871907532922,0,True,True,17,2,2,0.25,0.25,0.25,0.16666666666666666,0.33333333333333331,100,50,150,0,200,0.20000000000000001,0,0.40000000000000002,0.13552333016870172,0.14977327096925552,2,2,2
