scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,control,map_similarity_to_uncontrolled,high_region_jaccard,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D500_F07_V01,500,7,common_grid,normalized,6,detrended_51,mean,area_ztop,0.73081201334816481,0,0.039365260048235873,-0.065462843432962256,0.11037558788116207,30,22,8,0.41666666666666669,3,4,350,0.69999999999999996,0.11037558788116207,,,,,22,3,3,0.25,0.25,0.41666666666666669,0.16666666666666666,0.5,350,50,450,0,500,0.69999999999999996,0,1,0.10776009832687169,,,,
D500_F09_V01,500,9,d500_extension,absolute,6,detrended_51,mean,area_ztop,0.90337523439127732,0.75,0.011239067510469724,-0.13133278976618307,0.14273533784190545,120,70,50,0.25,2,2,37.5,0.074999999999999997,0.14273533784190545,,,,,70,7,7,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,112.5,37.5,412.5,25,425,0.22500000000000001,0.050000000000000003,0.84999999999999998,0.10549996038167528,,,,
D500_F09_V01,500,9,d500_extension,normalized,6,detrended_51,mean,area_ztop,0.84783092324805387,1,0.022763202503446822,-0.1113129742279905,0.1727732190439355,30,20,10,0.25,2,2,150,0.29999999999999999,0.1727732190439355,,,,,20,2,2,0.25,0.25,0.25,0.16666666666666666,0.33333333333333331,100,50,150,0,200,0.20000000000000001,0,0.40000000000000002,0.16081904712448133,,,,
D500_F10_V01,500,10,common_grid,absolute,6,detrended_51,mean,area_ztop,0.89194388499201349,0.5,0.01517902226618284,-0.094977839933906891,0.15643911586762113,120,72,48,0.25,2,1,12.5,0.025000000000000001,0.15643911586762113,,,,,72,8,8,0.25,0.083333333333333329,0.91666666666666663,0,1,162.5,12.5,362.5,0,375,0.32499999999999996,0,0.75,0.11559426309541579,,,,
D500_F10_V01,500,10,common_grid,normalized,6,detrended_51,mean,area_ztop,0.60177975528364858,0.33333333333333331,0.027494395292512193,-0.047459207212498355,0.15477091816213273,30,18,12,0.25,2,1,50,0.10000000000000001,0.15477091816213273,,,,,18,2,2,0.33333333333333337,0.25,0.41666666666666669,0.16666666666666666,0.5,100,50,150,0,200,0.20000000000000001,0,0.40000000000000002,0.12372115408447297,,,,
D500_F12_V01,500,12,d500_extension,absolute,6,detrended_51,mean,area_ztop,0.8612125842072369,0.75,0.011490778039555477,-0.086695822461152566,0.11918068708968131,120,70,50,0.58333333333333337,4,10,237.5,0.47499999999999998,0.11918068708968131,,,,,70,7,7,0.58333333333333337,0.083333333333333329,0.91666666666666663,0,1,412.5,162.5,462.5,150,475,0.82499999999999996,0.29999999999999999,0.94999999999999996,0.094957181971054488,,,,
D500_F12_V01,500,12,d500_extension,normalized,6,detrended_51,mean,area_ztop,0.52747497219132367,0.33333333333333331,0.029737298625764918,-0.058564632073536634,0.1187797054162657,30,19,11,0.25,2,1,50,0.10000000000000001,0.1187797054162657,,,,,19,2,2,0.25,0.25,0.25,0.16666666666666666,0.33333333333333331,100,50,150,0,200,0.20000000000000001,0,0.40000000000000002,0.10217329036022618,,,,
D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.92027224112785622,0.69230769230769229,0.080353888117395439,-0.062546728893210821,0.3397590687145508,120,108,12,0.41666666666666669,3,2,37.5,0.29296875,0.3397590687145508,,,,,108,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,262.5,0,275,0.29296875,0,2.1484375,0.22844328008153919,,,,
D128_F01_V01,128,1,common_grid,normalized,6,detrended_51,mean,x1_ztop,0.93147942157953312,1,0.14324912209669488,-0.002079948791009362,0.326939199404786,30,29,1,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.326939199404786,,,,,29,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,38.400000000000006,12.800000000000001,38.400000000000006,0,51.200000000000003,0.30000000000000004,0,0.40000000000000002,0.28168407885726787,,,,
D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.95106604625321212,0.83333333333333337,0.060321970610321018,-0.072689770006231072,0.23444263931258019,120,103,17,0.41666666666666669,3,1,12.5,0.09765625,0.23444263931258019,,,,,103,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.19071050323194627,,,,
