source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,control,rho,n_pairs,control_design_rank
4,9,0.5,0.66666666666666663,0.58333333333333337,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.046161377598309267,486,3
4,10,0.5,0.66666666666666663,0.58333333333333337,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.09537089492682059,486,3
4,11,0.5,0.66666666666666663,0.58333333333333337,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.1002326237060886,486,3
4,12,0.5,0.66666666666666663,0.58333333333333337,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.084592454045447851,486,3
4,13,0.5,0.66666666666666663,0.58333333333333337,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,-0.0065288095953354233,486,3
4,14,0.5,0.66666666666666663,0.58333333333333337,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.084432529915399165,486,3
4,15,0.5,0.66666666666666663,0.58333333333333337,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,-0.0008202619525252558,486,3
4,16,0.5,0.66666666666666663,0.58333333333333337,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.064625397961221714,486,3
4,17,0.5,0.66666666666666663,0.58333333333333337,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.027545888432993292,486,3
4,18,0.5,0.66666666666666663,0.58333333333333337,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.050067519108921439,486,3
4,19,0.5,0.66666666666666663,0.58333333333333337,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,-0.0028043731462008108,486,3
4,20,0.5,0.66666666666666663,0.58333333333333337,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,-0.027147694258449925,486,3
5,1,0.66666666666666663,0.83333333333333337,0.75,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.19549204842967649,486,3
5,2,0.66666666666666663,0.83333333333333337,0.75,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.16915915566923917,486,3
5,3,0.66666666666666663,0.83333333333333337,0.75,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.13624890740485901,486,3
5,4,0.66666666666666663,0.83333333333333337,0.75,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.10335140289362714,486,3
5,5,0.66666666666666663,0.83333333333333337,0.75,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.15019185323916448,486,3
5,6,0.66666666666666663,0.83333333333333337,0.75,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.11877016356662741,486,3
5,7,0.66666666666666663,0.83333333333333337,0.75,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.082058336126058215,486,3
5,8,0.66666666666666663,0.83333333333333337,0.75,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.10293116142975624,486,3
5,9,0.66666666666666663,0.83333333333333337,0.75,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.088333429649183837,486,3
5,10,0.66666666666666663,0.83333333333333337,0.75,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.09660599433465622,486,3
5,11,0.66666666666666663,0.83333333333333337,0.75,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.011811278524154183,486,3
5,12,0.66666666666666663,0.83333333333333337,0.75,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.099033031838694163,486,3
