source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho,n_pairs,rho_peak,lag_at_peak,n_pairs_lag0,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,high_region_target_count
6,1,0.83333333333333337,1,0.91666666666666663,0,47,23.5,0,0.20000000000000001,0.10000000000000001,D235_F01_V01,235,1,common_grid,normalized,6,detrended_51,mean,0.24023686146759915,448,0.24023686146759915,0,448,1,True,True,-0.027682278456566085,0.26791913992416522,3
6,2,0.83333333333333337,1,0.91666666666666663,47,94,70.5,0.20000000000000001,0.40000000000000002,0.29999999999999999,D235_F01_V01,235,1,common_grid,normalized,6,detrended_51,mean,0.22650884621439252,448,0.23455048374160115,3,448,2,False,True,-0.0092016186559811461,0.23571046487037367,3
4,1,0.5,0.66666666666666663,0.58333333333333337,0,47,23.5,0,0.20000000000000001,0.10000000000000001,D235_F01_V01,235,1,common_grid,normalized,6,detrended_51,mean,0.22286647703367513,448,0.24231812209460118,-6,448,2,False,False,0.0038561838193555418,0.21901029321431958,3
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.10638297872340426,0.053191489361702128,D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.22432628374967811,448,0.22432628374967811,0,448,1,True,True,-0.015189667284114495,0.23951595103379261,8
5,5,0.66666666666666663,0.83333333333333337,0.75,100,125,112.5,0.42553191489361702,0.53191489361702127,0.47872340425531917,D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.22379873835128961,448,0.22379873835128961,0,448,1,True,True,-0.013462514110423004,0.23726125246171262,8
5,1,0.66666666666666663,0.83333333333333337,0.75,0,25,12.5,0,0.10638297872340426,0.053191489361702128,D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.22000158350137161,448,0.22000158350137161,0,448,1,True,True,-0.024119151664071744,0.24412073516544336,8
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.10638297872340426,0.053191489361702128,D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.21928643589741559,448,0.21928643589741559,0,448,1,True,True,-0.0020408036480188841,0.22132723954543448,8
4,2,0.5,0.66666666666666663,0.58333333333333337,25,50,37.5,0.10638297872340426,0.21276595744680851,0.15957446808510639,D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.2012031934796196,448,0.2012031934796196,0,448,1,True,True,-0.0056032492657950728,0.20680644274541468,8
6,6,0.83333333333333337,1,0.91666666666666663,125,150,137.5,0.53191489361702127,0.63829787234042556,0.58510638297872342,D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.19777429951147554,448,0.19777429951147554,0,448,1,True,True,-0.0046156898409811555,0.2023899893524567,8
5,6,0.66666666666666663,0.83333333333333337,0.75,125,150,137.5,0.53191489361702127,0.63829787234042556,0.58510638297872342,D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.19441891278885737,448,0.22992420816037901,-3,448,2,False,True,-0.0029420303730606986,0.19736094316191807,8
2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.21276595744680851,0.31914893617021278,0.26595744680851063,D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.17328505521986165,448,0.17446313613152847,-2,448,2,True,True,0.00067520687712208398,0.17260984834273957,8
5,3,0.66666666666666663,0.83333333333333337,0.75,94,141,117.5,0.40000000000000002,0.59999999999999998,0.5,D235_F03_V01,235,3,common_grid,normalized,6,detrended_51,mean,0.27191345815576468,448,0.27191345815576468,0,448,1,True,True,-0.021134238181160322,0.29304769633692501,3
4,1,0.5,0.66666666666666663,0.58333333333333337,0,47,23.5,0,0.20000000000000001,0.10000000000000001,D235_F03_V01,235,3,common_grid,normalized,6,detrended_51,mean,0.23105379667260406,448,0.23105379667260406,0,448,1,True,True,-0.021692419444331836,0.25274621611693587,3
3,1,0.33333333333333331,0.5,0.41666666666666669,0,47,23.5,0,0.20000000000000001,0.10000000000000001,D235_F03_V01,235,3,common_grid,normalized,6,detrended_51,mean,0.19620447083393724,448,0.19620447083393724,0,448,1,True,True,0.0010090415748056272,0.19519542925913161,3
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.10638297872340426,0.053191489361702128,D235_F05_V01,235,5,common_grid,absolute,6,detrended_51,mean,0.2207322100846392,424,0.2207322100846392,0,424,1,True,True,0.00709819278867704,0.21363401729596215,8
5,1,0.66666666666666663,0.83333333333333337,0.75,0,25,12.5,0,0.10638297872340426,0.053191489361702128,D235_F05_V01,235,5,common_grid,absolute,6,detrended_51,mean,0.20617057791101073,424,0.2271568575269764,-1,424,2,True,True,0.013904713413741832,0.1922658644972689,8
