pair,support,algorithm,flow_mm_s,metric,from_diameter_um,to_diameter_um,percent_change,reason
SV-B_vs_OMAG-B,native,OMAG-B,1,vessel_core_P95,128,285,31.951944498120604,ok
SV-B_vs_OMAG-B,common,SV-B,1,vessel_core_P95,128,235,9.261742002762073,ok
SV-B_vs_OMAG-B,common,OMAG-B,1,vessel_core_P95,128,235,18.228919129018305,ok
SV-B_vs_OMAG-B,common,SV-B,1,vessel_core_P95,235,285,15.001988004166893,ok
SV-B_vs_OMAG-B,common,OMAG-B,1,vessel_core_P95,235,285,11.607164702340663,ok
SV-B_vs_OMAG-B,common,SV-B,1,vessel_core_P95,128,285,25.65317543116022,ok
SV-B_vs_OMAG-B,common,OMAG-B,1,vessel_core_P95,128,285,31.951944498120604,ok
SV-B_vs_OMAG-B,native,SV-B,3,normalized_AUC_um,128,235,-70.1363683400244,ok
SV-B_vs_OMAG-B,native,OMAG-B,3,normalized_AUC_um,128,235,-48.541656505076,ok
SV-B_vs_OMAG-B,native,SV-B,3,normalized_AUC_um,235,285,-24.244015217812517,ok
SV-B_vs_OMAG-B,native,OMAG-B,3,normalized_AUC_um,235,285,-15.541921146106862,ok
SV-B_vs_OMAG-B,native,SV-B,3,normalized_AUC_um,128,285,-77.37651174426037,ok
SV-B_vs_OMAG-B,native,OMAG-B,3,normalized_AUC_um,128,285,-56.539271674149894,ok
SV-B_vs_OMAG-B,common,SV-B,3,normalized_AUC_um,128,235,-70.1363683400244,ok
SV-B_vs_OMAG-B,common,OMAG-B,3,normalized_AUC_um,128,235,-48.494867272981644,ok
SV-B_vs_OMAG-B,common,SV-B,3,normalized_AUC_um,235,285,-24.244015217812517,ok
SV-B_vs_OMAG-B,common,OMAG-B,3,normalized_AUC_um,235,285,-15.541921146106862,ok
SV-B_vs_OMAG-B,common,SV-B,3,normalized_AUC_um,128,285,-77.37651174426037,ok
SV-B_vs_OMAG-B,common,OMAG-B,3,normalized_AUC_um,128,285,-56.49975438761252,ok
SV-B_vs_OMAG-B,native,SV-B,3,raw_AUC_200,128,235,-70.10703061299255,ok
SV-B_vs_OMAG-B,native,OMAG-B,3,raw_AUC_200,128,235,-40.24352584494325,ok
SV-B_vs_OMAG-B,native,SV-B,3,raw_AUC_200,235,285,-15.529590789509268,ok
SV-B_vs_OMAG-B,native,OMAG-B,3,raw_AUC_200,235,285,-4.018157669458836,ok
SV-B_vs_OMAG-B,native,SV-B,3,raw_AUC_200,128,285,-74.74928643362807,ok
SV-B_vs_OMAG-B,native,OMAG-B,3,raw_AUC_200,128,285,-42.644635194202856,ok
SV-B_vs_OMAG-B,common,SV-B,3,raw_AUC_200,128,235,-70.10703061299255,ok
SV-B_vs_OMAG-B,common,OMAG-B,3,raw_AUC_200,128,235,-40.30404903441044,ok
SV-B_vs_OMAG-B,common,SV-B,3,raw_AUC_200,235,285,-15.529590789509268,ok
