subset,scan_id,diameter_um,flow_mm_s,n_frames,upper_mean_raw_q1,upper_mean_raw_median,upper_mean_raw_q3,upper_q_fraction_median,middle_mean_raw_q1,middle_mean_raw_median,middle_mean_raw_q3,middle_q_fraction_median,lower_mean_raw_q1,lower_mean_raw_median,lower_mean_raw_q3,lower_q_fraction_median,source_mean_raw_median,lower_to_upper_mean_ratio_median
central_geometry,D500_F09_V01,500,9,364,179865701.52971855,198509296.45601934,226044803.8396439,0.57834962163818338,64109356.133481145,68926271.181366071,74206545.004900962,0.28349864006884778,44030051.256058455,45947829.095438711,48290458.191023335,0.13360830712857177,100612416.08499518,0.23145014668274314
central_geometry,D500_F10_V01,500,10,399,181320843.96539932,203394865.01204297,230969343.25170296,0.5823650158700483,64660938.508917868,69502655.545817569,75587309.58357951,0.28401405523331269,44184833.131131843,46434597.470100947,48257883.782434411,0.13228552318676939,102051046.13192184,0.22690863990331064
central_geometry,D500_F12_V01,500,12,358,183371985.28690404,207416600.82210332,235812426.58939672,0.58454187184211825,65381676.12171036,70368403.18298924,75838081.555056512,0.2837968559572045,44120368.66540233,46476092.359823115,48358092.98111286,0.1303694966388316,103752186.35581172,0.22356324728319293
direct_plus_central,D285_F01_V01,285,1,248,291854968.08770066,322632492.11409426,361508534.47764748,0.52078866341143648,141591897.0905579,155412616.41825399,168764335.52873674,0.35817333432712395,73731598.132692426,78122800.596797109,83830504.306106865,0.12437379328600491,181585268.22734308,0.24747863959505917
direct_plus_central,D285_F03_V01,285,3,285,295895877.4303025,332593346.62005198,371211645.39840674,0.52583639814170524,139860021.14960366,153724166.50968644,166816187.92238712,0.34656622414945826,74613806.102580413,79392205.969801754,84491272.570849106,0.12600063403143902,184331938.65838397,0.23928493782602514
direct_plus_central,D285_F05_V01,285,5,276,300452401.10087019,334658487.77878463,386973033.01589197,0.52569959859253157,145081854.57316008,157844715.48233807,171869942.16824254,0.35070474280004632,73686459.057419062,79784047.307038024,85570620.797489136,0.12237569238139627,187165305.74377549,0.23472861198292599
direct_plus_central,D285_F07_V01,285,7,253,323859623.29927075,371328720.8517763,404915110.89421755,0.54652457137006327,136779195.83444983,152666013.43383315,171587175.71651331,0.33236076752145161,74052272.500108108,79611276.864972308,86315128.628633186,0.11950619157126985,193782304.88890436,0.2167032242453644
direct_plus_central,D285_F10_V01,285,10,285,284107967.78126097,322825553.98101836,364229444.09798455,0.52684373701663556,135741828.47696891,148353980.20789075,165529357.0336788,0.34629423775023427,71707480.236740381,76758316.296643525,82209178.354357019,0.12566981529404411,178714259.97495073,0.23626208691726863
direct_plus_central,D500_F01_V01,500,1,325,189991939.15458927,217466911.8680546,250567543.92108923,0.61928234296641915,59025503.206377976,63172385.277846895,68233782.785140142,0.25711251125701057,41407030.884636991,43096123.637646168,45182297.704700403,0.12356097185027853,101683224.1208836,0.19893826414833501
direct_plus_central,D500_F02_V01,500,2,311,189611992.31021684,219133397.50270703,252793708.98443305,0.62136998059843696,58452055.774244606,62685475.698034115,68144297.693652987,0.25709961796831804,41738431.392514952,43347240.894566089,45085537.937347397,0.12407591084638449,102433896.20917957,0.20052885524926445
direct_plus_central,D500_F03_V01,500,3,321,189053356.50315323,217056337.51507577,251768454.20536143,0.61752404234305236,58461002.788576812,62341971.362825707,67809055.291057512,0.25703538014622962,40935443.311138645,43006510.175059192,45158914.721001789,0.12324088798009074,101676702.67744586,0.19853615672923006
direct_plus_central,D500_F05_V01,500,5,302,183344397.53508538,201492458.34029531,228364412.45119804,0.58692248826611571,63747946.316601977,68050550.334168851,72804438.875669509,0.28016931855485505,43948512.384468019,46168530.616699979,47918514.794590265,0.13129784926336291,100609716.14395063,0.2259386006475736
direct_plus_central,D500_F07_V01,500,7,306,183606424.33716482,206474680.66022807,229843613.34548929,0.58740446010663117,64222994.714549512,68969689.90253672,74487999.722748861,0.27955578948136783,44141628.369695351,46231000.946500883,48470226.87998797,0.13288381452839892,102773696.45897678,0.22604434816988378
direct_plus_central,D500_F09_V01,500,9,305,179732573.36813572,198045611.07965463,224630255.87296441,0.57920526687223906,63877321.897458814,68729056.711050704,73861576.472539291,0.28302047954850895,43937540.345050894,45817655.026514746,48314879.837669678,0.13381038149355678,100362922.57969519,0.23195811047457165
direct_plus_central,D500_F10_V01,500,10,343,180215547.70533854,203394865.01204297,226338507.88736311,0.58146486556942056,64747601.696041346,69365432.413661137,75616289.522587568,0.28459302435355982,44181587.823348179,46475952.43460004,48302585.670195453,0.13251452351095039,101777506.62993744,0.22837627714312464
direct_plus_central,D500_F12_V01,500,12,300,182393944.44072315,206053907.42869052,233161497.09153247,0.58291702344161234,65468139.88714008,70189874.195817143,75744484.933977962,0.28437973762467511,44092692.765278243,46485665.171173431,48375154.069632687,0.13053471072359688,103073088.10271248,0.22462684199148278
