scan_id,diameter_um,flow_mm_s,grid_scope,region,metric,n,median,min,max,p5,p10,p90,p95,p99,mad
D500_F02_V01,500,2,d500_extension,source,contrast,493,-0.39667618250969827,-0.59577515545188431,-0.30645683222963177,-0.43904080460086647,-0.42872866329832465,-0.35599286007655906,-0.34503762076456201,-0.31952227488570573,0.018804804905284522
D500_F02_V01,500,2,d500_extension,source,real_mean,493,26947.609514155414,14577.522219937417,46204.370291710431,23798.153100034138,24359.017852126355,31241.884486213312,33222.157583253509,35060.820799379275,1857.6709966062808
D500_F02_V01,500,2,d500_extension,source,bg_mean,493,61809.450682003902,54733.964784345415,87037.142101094723,56798.457395824007,57768.437875103402,70341.702656348862,72151.613740033776,74554.757736395957,2873.7671311359227
D500_F02_V01,500,2,d500_extension,source,bg_sd,493,59524.448180543426,45740.437328094595,97350.339292270379,49829.826795567482,51256.90747725399,73454.237458826115,77798.7455597917,84869.549861344611,5851.3864115356482
D500_F02_V01,500,2,d500_extension,tail100,sbr,493,0.67307879097570122,0.47965427790218296,0.82914249849751942,0.62090557208974528,0.6315340178071317,0.72263097584612457,0.73424484774845222,0.76461976418987132,0.023781435342609902
D500_F02_V01,500,2,d500_extension,tail100,contrast,493,-0.19540096425085027,-0.35166709539443919,-0.093408524290931452,-0.23387820633348738,-0.22584025321463949,-0.16101476647331681,-0.15323992539272885,-0.13339100411323976,0.017000598736960248
D500_F02_V01,500,2,d500_extension,tail100,real_mean,493,14167.046928403006,10741.322339539536,17609.589512826777,13262.266991931148,13433.91166323492,15102.502121070189,15431.13637184616,16140.726451875191,413.17896370482231
D500_F02_V01,500,2,d500_extension,tail100,bg_mean,493,20894.894634574095,18994.620823251094,26403.249575564638,19500.830499067517,19786.815469632631,22636.842396094733,23099.688773717793,23978.309757402218,743.75689057010823
D500_F02_V01,500,2,d500_extension,tail100,bg_sd,493,12125.336085249157,9408.4331621212314,23188.026913606431,10323.074161514187,10689.768598915243,14486.686723648767,15002.488424043338,16984.837573397675,962.84310562105384
D500_F03_V01,500,3,common_grid,source,sbr,490,0.4345269811450293,0.25623595226616191,0.54893675710145284,0.38709507086374023,0.39532618417922605,0.47212316436493679,0.48618108579489777,0.51020265832978862,0.019697659410195051
D500_F03_V01,500,3,common_grid,source,contrast,490,-0.3941877955572472,-0.59205760382206829,-0.29120830197265651,-0.4418632362729728,-0.43335660374769419,-0.35858200639070548,-0.34573164482803637,-0.32432565830180377,0.019154826691570481
D500_F03_V01,500,3,common_grid,source,real_mean,490,26904.708478946282,15101.617324646933,39487.32280890071,23458.397478409668,24231.803495166085,31814.415927316055,33153.982462492262,35433.596882474936,1809.8944803935083
D500_F03_V01,500,3,common_grid,source,bg_mean,490,61916.568450615581,54016.303050237977,77613.302658404747,56312.950217331243,57364.088352724859,70122.914855008814,72710.683420039204,75424.980509259971,2982.8098886182343
D500_F03_V01,500,3,common_grid,source,bg_sd,490,59812.969771285061,46388.445515499559,92453.717483963032,50134.166988985373,51708.468313893143,73475.099650805336,77778.162714458813,85525.393100564135,5711.9975314537405
D500_F03_V01,500,3,common_grid,tail100,sbr,490,0.67374949264008799,0.4645817169585541,0.78583687742541064,0.62050365061006829,0.63267788113698109,0.72005421502423561,0.73539708837936413,0.76726092947735358,0.024166852620657209
D500_F03_V01,500,3,common_grid,tail100,contrast,490,-0.19492194603631846,-0.36557760952617274,-0.11992311575699015,-0.23418469955655061,-0.22498138142302018,-0.16275405037336513,-0.15247402589535819,-0.13169481863578991,0.017341090321062666
