scan_id,diameter_um,flow_mm_s,grid_scope,mode,tail_bin,side,rho,n_pairs
D128_F05_V01,128,5,common_grid,detrended_51,11,left,-0.017600988635112603,491
D128_F05_V01,128,5,common_grid,detrended_51,11,right,0.030656101085802624,491
D128_F05_V01,128,5,common_grid,detrended_51,12,bg,0.068426313354627566,491
D128_F05_V01,128,5,common_grid,detrended_51,12,left,0.019843318611433167,491
D128_F05_V01,128,5,common_grid,detrended_51,12,right,0.050497647343885892,491
D128_F05_V01,128,5,common_grid,detrended_51,13,bg,0.015562509893745609,491
D128_F05_V01,128,5,common_grid,detrended_51,13,left,0.048605946849030149,491
D128_F05_V01,128,5,common_grid,detrended_51,13,right,-0.045828403303325931,491
D128_F05_V01,128,5,common_grid,detrended_51,14,bg,-0.1219262578906669,491
D128_F05_V01,128,5,common_grid,detrended_51,14,left,-0.083900779795839764,491
D128_F05_V01,128,5,common_grid,detrended_51,14,right,-0.08745958704369311,491
D128_F05_V01,128,5,common_grid,detrended_51,15,bg,0.061261853542557185,491
D128_F05_V01,128,5,common_grid,detrended_51,15,left,0.0077267730410472378,491
D128_F05_V01,128,5,common_grid,detrended_51,15,right,0.061988840242523637,491
D128_F05_V01,128,5,common_grid,detrended_51,16,bg,0.042123410773720997,491
D128_F05_V01,128,5,common_grid,detrended_51,16,left,0.049065892098754171,491
D128_F05_V01,128,5,common_grid,detrended_51,16,right,0.021655507746207829,491
D128_F05_V01,128,5,common_grid,detrended_51,17,bg,-0.082696051432618364,491
D128_F05_V01,128,5,common_grid,detrended_51,17,left,-0.064844944509219696,491
D128_F05_V01,128,5,common_grid,detrended_51,17,right,-0.062507482913638668,491
D128_F05_V01,128,5,common_grid,detrended_51,18,bg,0.10700651600371207,491
D128_F05_V01,128,5,common_grid,detrended_51,18,left,0.046009990509077198,491
D128_F05_V01,128,5,common_grid,detrended_51,18,right,0.082728499760757121,491
D128_F05_V01,128,5,common_grid,detrended_51,19,bg,-0.074532548272476282,491
D128_F05_V01,128,5,common_grid,detrended_51,19,left,-0.082924410439245672,491
D128_F05_V01,128,5,common_grid,detrended_51,19,right,-0.025968993986799666,491
D128_F05_V01,128,5,common_grid,detrended_51,20,bg,0.0024205009620410218,491
D128_F05_V01,128,5,common_grid,detrended_51,20,left,0.051504513734195657,491
D128_F05_V01,128,5,common_grid,detrended_51,20,right,-0.042187314392667853,491
D128_F07_V01,128,7,common_grid,raw,1,bg,0.057421257133792314,493
