scan_id,diameter_um,flow_mm_s,grid_scope,region,side,n,median,min,max,p5,p10,p90,p95,p99,mad
D285_F01_V01,285,1,common_grid,t10,bg,453,257.22037835587633,179.02491668495563,304.15714267441422,225.79101117415399,232.63639026151401,281.40374718601629,288.27474745690682,297.68113412797584,14.400466558571395
D285_F01_V01,285,1,common_grid,t11,real,453,133.89507234935294,93.190727441917375,158.32782334072309,117.53463691422323,121.63961976632831,146.71689577889254,150.0603039850584,154.67983804326758,7.4961071282486671
D285_F01_V01,285,1,common_grid,t11,left,453,133.89507234935294,93.190727441917375,158.32782334072309,117.53463691422323,121.09797250224817,146.48363138911452,150.0603039850584,154.95676215808055,7.4961071282486671
D285_F01_V01,285,1,common_grid,t11,right,453,133.89507234935292,93.190727441917375,158.32782334072286,117.53463691422326,121.09797250224817,146.48363138911463,150.06030398505828,154.95676215808055,7.4961071282489513
D285_F01_V01,285,1,common_grid,t11,bg,453,267.79014469870577,186.38145488383483,316.65564668144594,235.06927382844648,242.19594500449631,292.96726277822916,300.12060797011668,309.91352431616116,14.992214256497732
D285_F01_V01,285,1,common_grid,t12,real,453,137.50400569065096,95.702538500111402,162.59530346888363,120.70260017436679,124.91822645210777,150.67142142063287,154.10494599282194,158.84899240381262,7.6981530323317031
D285_F01_V01,285,1,common_grid,t12,left,453,137.50400569065096,95.702538500111402,162.59530346888363,120.70260017436679,124.36197992879947,150.43186975217546,154.10494599282194,159.13338057726054,7.6981530323317031
D285_F01_V01,285,1,common_grid,t12,right,453,137.5040056906509,95.702538500111402,162.59530346888337,120.70260017436682,124.36197992879947,150.4318697521756,154.10494599282183,159.13338057726054,7.6981530323319873
D285_F01_V01,285,1,common_grid,t12,bg,453,275.0080113813018,191.4050770002228,325.19060693776697,241.40520034873364,248.72395985759891,300.86373950435103,308.20989198564376,318.26676115452113,15.396306064663747
D285_F01_V01,285,1,common_grid,t13,real,453,129.5670120322624,90.178405313213915,153.2099922117001,113.73541571073561,117.70770799348125,141.97437939404367,145.20971437445678,149.67992537178071,7.2538009460631656
D285_F01_V01,285,1,common_grid,t13,left,453,129.5670120322624,90.178405313213915,153.2099922117001,113.73541571073561,117.18356908118994,141.74865510511495,145.20971437445678,149.94789811705377,7.2538009460631656
D285_F01_V01,285,1,common_grid,t13,right,453,129.56701203226231,90.178405313213915,153.20999221169987,113.73541571073562,117.18356908118994,141.74865510511506,145.20971437445669,149.94789811705377,7.2538009460634214
D285_F01_V01,285,1,common_grid,t13,bg,453,259.13402406452474,180.35681062642783,306.41998442340002,227.47083142147125,234.36713816237992,283.49731021023007,290.4194287489135,299.89579623410754,14.507601892126615
D285_F01_V01,285,1,common_grid,t14,real,453,128.03960271308441,89.115331198101089,151.40386605177079,112.39463821535043,116.3201028669267,140.30070500139055,143.49790002069602,147.91541363904281,7.1682890322612138
D285_F01_V01,285,1,common_grid,t14,left,453,128.03960271308441,89.115331198101089,151.40386605177079,112.39463821535043,115.80214280098387,140.07764167822054,143.49790002069602,148.18022736982596,7.1682890322612138
D285_F01_V01,285,1,common_grid,t14,right,453,128.03960271308432,89.115331198101089,151.40386605177062,112.39463821535045,115.80214280098387,140.07764167822066,143.49790002069591,148.18022736982596,7.1682890322614981
D285_F01_V01,285,1,common_grid,t14,bg,453,256.07920542616876,178.23066239620212,302.80773210354141,224.78927643070085,231.60428560196775,280.15528335644126,286.99580004139193,296.36045473965191,14.336578064522655
D285_F01_V01,285,1,common_grid,t15,real,453,136.05932459638211,94.697043079449315,160.88700151972543,119.43444246779571,123.60577741341611,149.0883973270461,152.48584769171489,157.18005094267639,7.6172726529512431
D285_F01_V01,285,1,common_grid,t15,left,453,136.05932459638211,94.697043079449315,160.88700151972543,119.43444246779571,123.055375075024,148.85136249993292,152.48584769171489,157.4614512015865,7.6172726529512431
D285_F01_V01,285,1,common_grid,t15,right,453,136.05932459638208,94.697043079449315,160.8870015197252,119.43444246779573,123.055375075024,148.85136249993306,152.48584769171475,157.4614512015865,7.6172726529514705
D285_F01_V01,285,1,common_grid,t15,bg,453,272.11864919276417,189.39408615889863,321.77400303945058,238.86888493559144,246.11075015004798,297.70272499986595,304.97169538342968,314.92290240317305,15.23454530590277
D285_F01_V01,285,1,common_grid,t16,real,453,136.39001158567697,94.927200624064241,161.27803122906036,119.72472331635161,123.90619653216113,149.45075097974222,152.85645871769805,157.56207105028483,7.6357861430608978
D285_F01_V01,285,1,common_grid,t16,left,453,136.39001158567697,94.927200624064241,161.27803122906036,119.72472331635161,123.35445646191768,149.2131400485394,152.85645871769805,157.84415524177123,7.6357861430608978
D285_F01_V01,285,1,common_grid,t16,right,453,136.39001158567689,94.927200624064241,161.2780312290601,119.72472331635164,123.35445646191768,149.21314004853951,152.85645871769793,157.84415524177123,7.6357861430611536
