source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho,n_pairs,rho_peak,lag_at_peak,n_pairs_lag0,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,pseudo_left_rho,pseudo_right_rho,control_rho,control_excess_rho,in_real_high_region
3,14,0.33333333333333331,0.5,0.41666666666666669,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.12154027001034848,486,0.16040104613826706,-2,486,2,True,True,0.0025284827228293674,0.11901178728751911,-0.048383392406427708,0.010473319308837594,-0.018955036548795056,0.14049530655914352,False
3,15,0.33333333333333331,0.5,0.41666666666666669,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.067230434073411921,486,0.13823903648519009,30,486,11,False,False,-0.0050635538164353492,0.072293987889847269,-0.046849127572714852,0.015807043013637345,-0.015521042279538754,0.082751476352950673,False
3,16,0.33333333333333331,0.5,0.41666666666666669,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.092238767813694486,486,0.13381281525344202,-35,486,3,False,False,0.0073700414518773627,0.084868726361817123,0.0093489305476113366,0.049182132437904647,0.029265531492757992,0.062973236320936488,False
3,17,0.33333333333333331,0.5,0.41666666666666669,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.084200349790291951,486,0.1479050116585692,36,486,10,False,False,-0.0043219566859259307,0.08852230647621788,0.099383863471990477,0.055173238924185922,0.0772785511980882,0.0069217985922037512,False
3,18,0.33333333333333331,0.5,0.41666666666666669,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.085943857639459192,486,0.12967517048341187,-1,486,3,True,True,-0.003678594940853144,0.089622452580312331,0.045118583838702903,0.00528040277898216,0.025199493308842531,0.060744364330616661,False
3,19,0.33333333333333331,0.5,0.41666666666666669,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.06103347930006886,486,0.094923671752869102,1,486,15,True,True,0.023882057377420621,0.03715142192264824,0.0085926866694076218,0.02434542761739078,0.016469057143399201,0.044564422156669656,False
3,20,0.33333333333333331,0.5,0.41666666666666669,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.066267734469929812,486,0.14157803169306388,10,486,90,False,False,0.0027643316077301597,-0.069032066077659965,0.039727144382820656,0.041171091018106759,0.040449117700463708,-0.10671685217039352,False
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.245277284539798,486,0.245277284539798,0,486,1,True,True,-0.02796934085989293,0.27324662539969091,0.15882483153037044,0.090531328117751733,0.12467807982406109,0.1205992047157369,True
4,2,0.5,0.66666666666666663,0.58333333333333337,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.22921463295395461,486,0.22921463295395461,0,486,1,True,True,-0.001202204347744343,0.23041683730169896,0.10432195737743546,0.049394443038264652,0.076858200207850058,0.15235643274610455,True
4,3,0.5,0.66666666666666663,0.58333333333333337,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.21566824058316919,486,0.21566824058316919,0,486,1,True,True,0.0051371609548946807,0.2105310796282745,0.088613941342837552,0.086439087791324642,0.087526514567081104,0.12814172601608809,False
