scan_id,diameter_um,flow_mm_s,grid_scope,parameter,unit,n_adjacent_pairs,outlier_flag_fraction,n,median,min,max,p5,p10,p90,p95,p99,mad
D500_F01_V01,500,1,common_grid,z_top,pixel,499,0.074148296593186377,499,0,0,1,0,0,0,1,1,0
D500_F01_V01,500,1,common_grid,z_top,um,499,0.074148296593186377,499,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D500_F02_V01,500,2,d500_extension,X4,pixel,490,0.0020408163265306124,490,0.72946468678098597,0,4.8685523099399006,0.015037177970054928,0.078187864369093085,1.8308753599803029,2.1494305297345631,3.0406432812074962,0.47657708913581587
D500_F02_V01,500,2,d500_extension,X4,um,490,0.0020408163265306124,490,9.2642015221185208,0,61.830614336236735,0.19097216021969757,0.99298587748748213,23.252117071749847,27.297767727628948,38.6161696713352,6.0525290320248608
D500_F02_V01,500,2,d500_extension,X1,pixel,490,0.0061224489795918364,490,2,0,24,0,0,5,6,9,1
D500_F02_V01,500,2,d500_extension,X1,um,490,0.0061224489795918364,490,25.399999999999999,0,304.79999999999995,0,0,63.5,76.199999999999989,114.3,12.699999999999999
D500_F02_V01,500,2,d500_extension,z_top,pixel,490,0.071428571428571425,490,0,0,1,0,0,0,1,1,0
D500_F02_V01,500,2,d500_extension,z_top,um,490,0.071428571428571425,490,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D500_F03_V01,500,3,common_grid,X4,pixel,488,0,488,0.75934402653939514,0,3.9748994432880522,0.011689236600886947,0.081632091045344177,1.8719722086243167,2.2351879212968595,3.3454690001519491,0.52262337286961724
D500_F03_V01,500,3,common_grid,X4,um,488,0,488,9.6436691370503169,0,50.48122292975826,0.1484533048312642,1.0367275562758709,23.774047049528821,28.386886600470113,42.487456301929754,6.637316835444139
D500_F03_V01,500,3,common_grid,X1,pixel,488,0.0040983606557377051,488,2,0,25,0,0,5,6,8.1299999999999955,1
D500_F03_V01,500,3,common_grid,X1,um,488,0.0040983606557377051,488,25.399999999999999,0,317.5,0,0,63.5,76.199999999999989,103.25099999999993,12.699999999999999
D500_F03_V01,500,3,common_grid,z_top,pixel,488,0.065573770491803282,488,0,0,1,0,0,0,1,1,0
