source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_lag0,rho_peak,lag_at_peak,n_pairs_lag0,n_pairs_at_peak,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,peak_tie_count,rho,side
3,12,0.33333333333333331,0.5,0.41666666666666669,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.10399363990676251,0.16065250890387892,44,486,435,21,False,False,0.063415109105710674,0.040578530801051838,1,0.10399363990676251,left
3,13,0.33333333333333331,0.5,0.41666666666666669,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.09943285509801876,0.15933200237414349,-48,486,431,21,False,False,0.050180694845771118,0.049252160252247643,1,0.09943285509801876,left
3,14,0.33333333333333331,0.5,0.41666666666666669,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.03268313297314758,0.20109168757886375,18,486,460,76,False,False,0.045885669329754172,-0.013202536356606592,1,0.03268313297314758,left
3,15,0.33333333333333331,0.5,0.41666666666666669,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.050562270816721572,0.16986731163631122,43,486,436,66,False,False,0.06115870669846684,-0.010596435881745268,1,0.050562270816721572,left
3,16,0.33333333333333331,0.5,0.41666666666666669,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.078760774929900718,0.17091328230868502,-12,486,466,19,False,False,0.0086488105447101588,0.070111964385190559,1,0.078760774929900718,left
3,17,0.33333333333333331,0.5,0.41666666666666669,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.16956825013021523,0.17820959819007332,-38,486,440,2,False,False,0.060433468462360279,0.10913478166785495,1,0.16956825013021523,left
3,18,0.33333333333333331,0.5,0.41666666666666669,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.087381816499706375,0.14032527405822537,-36,486,442,26,False,False,0.048826909680699263,0.038554906819007112,1,0.087381816499706375,left
3,19,0.33333333333333331,0.5,0.41666666666666669,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.097101657215122816,0.16796186723633105,8,486,470,30,False,False,0.063342217925181313,0.033759439289941504,1,0.097101657215122816,left
3,20,0.33333333333333331,0.5,0.41666666666666669,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.10938612921578972,0.13536244564641003,29,486,449,7,False,False,0.0261575806765292,0.083228548539260511,1,0.10938612921578972,left
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.23838761600780273,0.23838761600780273,0,486,486,1,True,True,0.065965975865533683,0.17242164014226904,1,0.23838761600780273,left
4,2,0.5,0.66666666666666663,0.58333333333333337,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.14942210074904105,0.14942210074904105,0,486,486,1,True,True,0.043040588351027399,0.10638151239801366,1,0.14942210074904105,left
4,3,0.5,0.66666666666666663,0.58333333333333337,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.15033555398225831,0.15077628886146807,-32,486,447,2,False,False,0.044625148562906808,0.10571040541935151,1,0.15033555398225831,left
4,4,0.5,0.66666666666666663,0.58333333333333337,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.1451290378137545,0.19072437232834324,12,486,466,3,False,False,0.035886963347292619,0.10924207446646188,1,0.1451290378137545,left
4,5,0.5,0.66666666666666663,0.58333333333333337,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.14235533048519494,0.17626276447317399,5,486,472,4,False,True,0.050620852855473603,0.091734477629721339,1,0.14235533048519494,left
4,6,0.5,0.66666666666666663,0.58333333333333337,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.11067591932696332,0.16500437417363722,6,486,472,8,False,False,0.048278271334886796,0.062397647992076519,1,0.11067591932696332,left
4,7,0.5,0.66666666666666663,0.58333333333333337,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.13163067030563519,0.18446230870793212,-41,486,437,6,False,False,0.043474594723446378,0.088156075582188811,1,0.13163067030563519,left
